order_group,line,context,paper_value,file_value,file_path,estimator,status,red_span,reason,value_status,method_constant,kind,section,item_id,added_basis,tex_file
red,26,"Probes detect the disorders with AUC from 0.75 to 0.92, while the zero-shot answers sit well below on Parkinson's and Alzheimer's, suggesting a representation utility gap.",0.75 to 0.92,0.7506 to 0.9213,omni_adress2020_nested_repeats.json ; omni_adresso_nested_repeats.json ; omni_kcl_nested_repeats.json ; omni_neurovoz_nested_repeats.json ; omni_pcgita_nested_repeats.json ; pitt_enc_nested5_oof.npz,"Qwen2.5-Omni encoder_probe, PD+AD",MATCH,R4,"range matches SET 'Qwen2.5-Omni encoder_probe, PD+AD': min 0.7506 (kcl) max 0.9213 (neurovoz); members: pcgita 0.8941; neurovoz 0.9213; kcl 0.7506; pitt 0.7706; adresso 0.8752; adress2020 0.8043; compatible sets that do NOT match: Qwen2.5-Omni encoder_probe, PD+AD without MDVR-KCL gives 0.77 to 0.92 | Qwen2.5-Omni lm_probe, PD+AD gives 0.62 to 0.93 | Qwen2.5-Omni lm_probe, PD+AD without MDVR-KCL gives 0.80 to 0.93 | Qwen2.5-Omni answer_state_probe, PD+AD gives 0.58 to 0.89",,no,range,Abstract,L26_549,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,101,"On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers.",seven,6.5763,<local data dir>/DementiaBank/pitt_conflict_manifest.csv,"Pitt 468 segments, clip-level mean age dementia 71.74 minus control 65.17",MATCH,R3,"age gap 6.58 years rounds to 7 under 'Pitt 468 segments, clip-level mean age dementia 71.74 minus control 65.17'; all definitions: pitt=6.58 (Pitt 468 segments, clip-level mean age dementia 71.74 minus ); pitt=7.54 (Pitt 468 segments, speaker-level (mean age per speaker id 's); pitt_cookie_all=6.53 (all Pitt cookie recordings in pitt_manifest.csv (all_dx), re); pitt_cookie_all=6.55 (all Pitt cookie recordings (all_dx), speaker-level mean-of-v); pitt_cookie_all=7.10 (all Pitt cookie recordings (all_dx), speaker-level age at fi); pitt_cookie_all=6.90 (all Pitt cookie recordings in pitt_manifest.csv (probable_po); pitt_cookie_all=7.23 (all Pitt cookie recordings (probable_possible_AD), speaker-l); pitt_cookie_all=7.82 (all Pitt cookie recordings (probable_possible_AD), speaker-l)",current,no,word_years,Implementation Details,L101_192,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,128,Pitt | Zero-shot Text :: Pitt & 468 (227) & 0.66 & 0.66 & 0.77,0.66,0.6629,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,"text only, Run B (pod /workspace/text_score.py, file mtime Sep 20), rank AUC recomputed here; arms joined from Run A 'set' by id",MATCH,R1,"context [model=Qwen2.5-Omni; data=pitt; stream=transcript; arm=all]; tier CONTESTED; same-tier values that round differently: 0.6975 (pitt Pitt Qwen2.5-Omni transcript-only answer, CONTESTED), 0.6975 (pitt text only, Run A (local MPS, file mtime , CONTESTED); NOTE S5: two Omni Pitt transcript runs disagree: Run A Sep 15 local 0.6975 (bootstrap tables, M1 headline) vs Run B Sep 20 pod 0.6629 (master_lookup, table1_omni25); cause not established",CONTESTED,no,point,Experimental Results,L128_34,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,130,ADReSS-2020 | Zero-shot Text :: ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,0.75,0.7538,<local data dir>/release/overnight2/text_new/o25_adress2020_text.csv,"text only, pod run Sep 20 (o25_adress2020_text.csv), rank AUC recomputed here",MATCH,R2,"context [model=Qwen2.5-Omni; data=adress2020; stream=transcript; arm=all]; tier current; same-tier values that round differently: 0.7909 (adress2020 text only, local run Sep 15 (omni_adress, current)",current,no,point,Experimental Results,L130_34,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,149,"The encoder probe, with its layer chosen inside the training folds, achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset (Fig. \reffig:gap).",0.75 to 0.92,0.7506 to 0.9213,omni_kcl_nested_repeats.json ; omni_neurovoz_nested_repeats.json ; omni_pcgita_nested_repeats.json,"Qwen2.5-Omni encoder_probe, PD",MATCH,R4,"range matches SET 'Qwen2.5-Omni encoder_probe, PD': min 0.7506 (kcl) max 0.9213 (neurovoz); members: pcgita 0.8941; neurovoz 0.9213; kcl 0.7506; compatible sets that do NOT match: Qwen2.5-Omni best probe (max over encoder/LM/answer-state/projector), PD gives 0.75 to 0.93 | Qwen2.5-Omni encoder probe SINGLE-SPLIT OOF (M7), PD gives 0.78 to 0.92",,no,range,Probing Results,L149_87,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,149,"The encoder probe beats the eGeMAPS baseline on all seven datasets, by 0.06 on PC-GITA to 0.18 on ADReSSo.",0.06 on PC-GITA to 0.18,,,,UNMATCHED,R6,"no named set compatible with context [model=Qwen3-Omni; data=adresso; stream=enc_minus_egemaps; arm=all; delta] (streams ['enc_minus_egemaps'], group ALL7)",,no,range,Probing Results,L149_642,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,226,"On the Pitt conflict segments the fine-tuned answer stays at 0.52, while the agreement segments rise to 0.86.",0.52,0.5189,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,R7,context [model=Qwen2.5-Omni (default); data=pitt; stream=projector_ft; arm=conflict]; tier current,current,no,point,Supervised Fine-tuning,L226_588,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,226,"On the Pitt conflict segments the fine-tuned answer stays at 0.52, while the agreement segments rise to 0.86.",0.86,0.8593,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,R7,context [model=Qwen2.5-Omni (default); data=pitt; stream=projector_ft; arm=agreement]; tier current,current,no,point,Supervised Fine-tuning,L226_631,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
red,244,\colorred resulting in a significant performance gain in AD and MDD detection.,"(claim, no number)","pcgita +0.3227 [0.2391, 0.404]; neurovoz +0.2078 [0.1588, 0.2578]; kcl -0.0149 [-0.2709, 0.2364]; edaic -0.0537 [-0.1221, 0.0152]; pitt +0.1095 [0.0454, 0.1728]; adresso +0.2096 [0.1294, 0.2867]; adress2020 +0.1443 [0.049, 0.237]; E-DAIC full window: zero-shot minus fine-tune +0.1863 [0.1098, 0.2696]",edaic_rerun/part15/C_intervals.csv,"paired speaker bootstrap, 2000 draws",MISMATCH,R8,"E-DAIC first-30 s projector gain -0.0537 [-0.1221, 0.0152] does not exclude zero; E-DAIC full window: fine-tuning LOWERS the AUC by 0.1863 [0.1098, 0.2696] (zero-shot 0.8285 vs fine-tuned 0.6421)",,no,claim,,claim_L244,,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,77,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.",0.43 to 0.62,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,"Qwen2.5-Omni transcript, PD",MISMATCH,,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634",,no,range,Implementation Details,L77_312,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
