file	kind	columns_dropped	rows
scores/part25/A/per_clip/A_adress2020_perclip.csv	csv	label	156
scores/part25/A/per_clip/A_adresso_perclip.csv	csv	label	237
scores/part25/A/per_clip/A_neurovoz_perclip.csv	csv	label	1270
scores/part25/A/per_clip/A_pcgita_perclip.csv	csv	label	1100
scores/part25/A/pod/p25Ar-adress2020-h200/r2_adress2020_enc_nested5_oof.csv	csv	label	156
scores/part25/A/pod/p25Ar-adress2020-h200/r2_omni_adress2020_zeroshot_scores.csv	csv	label	156
scores/part25/A/pod/p25Ar-adress2020/r2_adress2020_enc_nested5_oof.csv	csv	label	156
scores/part25/A/pod/p25Ar-adress2020/r2_omni_adress2020_zeroshot_scores.csv	csv	label	156
scores/part25/A/pod/p25Ar-adresso/r2_adresso_enc_nested5_oof.csv	csv	label	237
scores/part25/A/pod/p25Ar-adresso/r2_omni_adresso_zeroshot_scores.csv	csv	label	237
scores/part25/A/pod/p25Ar-neurovoz/r2_neurovoz_enc_nested5_oof.csv	csv	label	1270
scores/part25/A/pod/p25Ar-neurovoz/r2_omni_neurovoz_zeroshot_scores.csv	csv	label	1270
scores/part25/A/pod/p25Ar-pcgita/r2_omni_pcgita_zeroshot_scores.csv	csv	label	1100
scores/part25/A/pod/p25Ar-pcgita/r2_pcgita_enc_nested5_oof.csv	csv	label	1100
scores/part25/B/per_clip/B_C_nv_probe_drop_perclip.csv	csv	label	1270
scores/part25/B/per_clip/B_C_pg_probe_drop_perclip.csv	csv	label	1100
scores/part25/B/per_clip/B_Cs_pg_answer_perclip.csv	csv	label	1100
scores/part25/B/per_clip/B_F_adress2020_perclip.csv	csv	label	156
scores/part25/B/per_clip/B_F_adresso_perclip.csv	csv	label	237
scores/part25/B/per_clip/B_F_lora_minus_projector_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_F_neurovoz_perclip.csv	csv	label	1270
scores/part25/B/per_clip/B_F_pcgita_perclip.csv	csv	label	1100
scores/part25/B/per_clip/B_F_pitt_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_Fs_edaic_seed0_perclip.csv	csv	label	275
scores/part25/B/per_clip/B_Fs_kcl_perclip.csv	csv	label	37
scores/part25/B/per_clip/B_G_adress2020_perclip.csv	csv	label	156
scores/part25/B/per_clip/B_G_adresso_perclip.csv	csv	label	237
scores/part25/B/per_clip/B_G_edaic_enc_perclip.csv	csv	label	275
scores/part25/B/per_clip/B_G_edaic_llm_perclip.csv	csv	label	275
scores/part25/B/per_clip/B_G_neurovoz_perclip.csv	csv	label	1270
scores/part25/B/per_clip/B_G_pcgita_perclip.csv	csv	label	1100
scores/part25/B/per_clip/B_G_pitt_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_Gs_edaic_ansstate_perclip.csv	csv	label	275
scores/part25/B/per_clip/B_Gs_kcl_single_perclip.csv	csv	label	37
scores/part25/B/per_clip/B_R_edaic_af2_perclip.csv	csv	label	794
scores/part25/B/per_clip/B_R_edaic_af3_perclip.csv	csv	label	794
scores/part25/B/per_clip/B_R_edaic_kimi_perclip.csv	csv	label	794
scores/part25/B/per_clip/B_R_edaic_o25_perclip.csv	csv	label	794
scores/part25/B/per_clip/B_R_edaic_q2a_perclip.csv	csv	label	794
scores/part25/B/per_clip/B_R_edaic_q3o_perclip.csv	csv	label	794
scores/part25/B/per_clip/B_R_pitt_o25_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_R_pitt_q2a_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_R_pitt_q3o_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_Rs_pitt_af2_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_Rs_pitt_af3_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_Rs_pitt_kimi_perclip.csv	csv	label	468
scores/part25/B/per_clip/B_X_edaic_conf_af2_perclip.csv	csv	label	483
scores/part25/B/per_clip/B_X_edaic_conf_af3_perclip.csv	csv	label	483
scores/part25/B/per_clip/B_X_edaic_conf_kimi_perclip.csv	csv	label	483
scores/part25/B/per_clip/B_X_edaic_conf_o25_perclip.csv	csv	label	483
scores/part25/B/per_clip/B_X_edaic_conf_q2a_perclip.csv	csv	label	483
scores/part25/B/per_clip/B_X_edaic_conf_q3o_perclip.csv	csv	label	483
scores/part25/B/per_clip/B_X_pitt_conf_o25_perclip.csv	csv	label	146
scores/part25/B/per_clip/B_X_pitt_conf_q2a_perclip.csv	csv	label	146
scores/part25/B/per_clip/B_X_pitt_conf_q3o_perclip.csv	csv	label	146
scores/part25/C/pod/p25C-2/q2a_adress2020_enc_rep5_oof.csv	csv	label	156
