id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
P20.POD6.A.tfidf.pcgita	language saliency TF-IDF LR AUC PC-GITA	0.6196	0.5700	0.6681	1100	100	scores/part20/POD6/A_language_saliency/A_tfidf_pcgita_oof.csv	0.62 [0.57, 0.67]	above 0.5
P20.POD6.A.tfidf.neurovoz	language saliency TF-IDF LR AUC NeuroVoz	0.5814	0.5422	0.6206	1270	107	scores/part20/POD6/A_language_saliency/A_tfidf_neurovoz_oof.csv	0.58 [0.54, 0.62]	above 0.5
P20.POD6.A.tfidf.kcl	language saliency TF-IDF LR AUC MDVR-KCL	0.4315	0.2560	0.6287	37	37	scores/part20/POD6/A_language_saliency/A_tfidf_kcl_oof.csv	0.43 [0.26, 0.63]	interval includes 0.5
P20.POD6.A.tfidf.edaic30	language saliency TF-IDF LR AUC E-DAIC first 30 s	0.4844	0.4028	0.5624	275	275	scores/part20/POD6/A_language_saliency/A_tfidf_edaic30_oof.csv	0.48 [0.40, 0.56]	interval includes 0.5
P20.POD6.A.tfidf.edaicfull	language saliency TF-IDF LR AUC E-DAIC full interview	0.6778	0.5973	0.7549	275	275	scores/part20/POD6/A_language_saliency/A_tfidf_edaicfull_oof.csv	0.68 [0.60, 0.75]	above 0.5
P20.POD6.A.tfidf.pitt	language saliency TF-IDF LR AUC Pitt 468	0.8353	0.7865	0.8862	468	228	scores/part20/POD6/A_language_saliency/A_tfidf_pitt_oof.csv	0.84 [0.79, 0.89]	above 0.5
P20.POD6.A.tfidf.adresso	language saliency TF-IDF LR AUC ADReSSo	0.8471	0.7961	0.8922	237	237	scores/part20/POD6/A_language_saliency/A_tfidf_adresso_oof.csv	0.85 [0.80, 0.89]	above 0.5
P20.POD6.A.tfidf.adress2020	language saliency TF-IDF LR AUC ADReSS-2020	0.9254	0.8866	0.9587	156	156	scores/part20/POD6/A_language_saliency/A_tfidf_adress2020_oof.csv	0.93 [0.89, 0.96]	above 0.5
P20.POD6.C.af3part10.pitt.conflict	Pitt AF3 zero-shot answer AUC conflict (alt copy overnight2/part10/af3_pitt.csv)	0.6075	0.5063	0.7129	146	100	scores/part20/POD6/C_landed/C_af3_pitt_part10_arms.csv	0.61 [0.51, 0.71]	above 0.5
P20.POD6.C.af3part10.pitt.agreement	Pitt AF3 zero-shot answer AUC agreement (alt copy overnight2/part10/af3_pitt.csv)	0.5855	0.5144	0.6554	322	175	scores/part20/POD6/C_landed/C_af3_pitt_part10_arms.csv	0.59 [0.51, 0.66]	above 0.5
P20.POD6.C.af3part10.pitt.conflict_minus_agreement	Pitt AF3 zero-shot answer AUC conflict_minus_agreement (alt copy overnight2/part10/af3_pitt.csv)	0.0220	-0.0846	0.1357	468	228	scores/part20/POD6/C_landed/C_af3_pitt_part10_arms.csv	0.02 [-0.08, 0.14]	interval includes zero
P20.POD6.A.tfidf.pitt_rawCHAT	language saliency TF-IDF LR AUC Pitt 468, raw CHAT manifest text (sensitivity)	0.8452	0.7975	0.8918	468	228	scores/part20/POD6/A_language_saliency/A_tfidf_pitt_rawCHAT_oof.csv	0.85 [0.80, 0.89]	above 0.5
P20.POD6.B.nvmatched.zeroshot	NeuroVoz matched subset Qwen2.5-Omni zero-shot answer AUC (existing scores)	0.6282	0.5584	0.6985	907	76	scores/part20/POD6/B_neurovoz_matched/B_zeroshot_nvmatched.csv	0.63 [0.56, 0.70]	above 0.5
