line_start,line_end,unit,status,ratio,new_numbers,text,best_base_text
124,125,table_row,edited,0.960,0.84 0.86,[tab:main] E-DAIC & 275 (275) & 0.84 & 0.82 & 0.86,[tab:main] E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64
170,171,table_row,edited,0.949,0.58,[tab:conflict] Audio Flamingo 2 & 0.53 & 0.63 & 0.58 & 0.53,[tab:conflict] Audio Flamingo 2 & 0.53 & 0.63 & 0.63 & 0.55
25,26,sentence,edited,0.963,,"Audio LLMs answer clinical questions about a recording, but their output depends on paralinguistic and linguistic cues, so it is unclear how much is grounded in the voice rather than the words.","Audio LLMs can answer clinical questions about a recording, but their output depends on both paralinguistic and linguistic cues, so it is unclear how much of it is grounded in the voice rather than the words."
26,26,sentence,edited,0.878,,"We train linear probes on an Audio LLM's hidden states and compare them with its answers under three conditions of different language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.","We train linear probes on its hidden states and query the model under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions."
26,26,sentence,added,0.429,0.56 0.71,"On Parkinson's and Alzheimer's, probes detect the disorder with an AUC of 0.75 to 0.92 while zero-shot answers sit at 0.56 to 0.71, a representation utility gap.","The encoder probe, with its layer chosen inside the training folds, achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset (Fig. \reffig:gap)."
26,26,sentence,added,0.463,,On depression the answer beats every probe.,The probe and the answer use different directions of that vector.
26,26,sentence,edited,0.922,,"Where the words contradict a depression diagnosis, four of six models fall below chance.","Where the words contradict the diagnosis, four of six models fall below chance."
26,26,sentence,edited,0.888,,Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets.,Retraining only the audio projector narrows the gap on Parkinson's and Alzheimer's.
26,26,sentence,edited,0.939,,Evaluations scored only where words and diagnosis agree cannot tell a model that listens from one that reads.,Evaluations that score answers only where words and diagnosis agree cannot tell a model that listens from one that reads.
40,42,sentence,edited,0.662,,Each point is that layer's representation probing performance (AUC) out-of-fold. \labelfig:gap \endfigure,Each point is that layer's out-of-fold AUC. \labelfig:gap \endfigure
44,44,sentence,edited,0.714,,"Audio LLMs in particular can use the words as well as the voice, because most of their audio encoders are trained for speech recognition, so the words are available even when the prompt contains only the audio.","Audio LLMs in particular can use the words as well as the voice, because they transcribe the speech internally even when the prompt contains only the audio and no transcript."
51,52,sentence,edited,0.858,,"\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, evaluate six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized, and show that the gap is significant on every Parkinson's and Alzheimer's set except MDVR-KCL and reverses on depression.","\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, evaluate six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized, and show that the gap shrinks as the words carry more of the diagnosis and reverses on depression."
52,53,sentence,added,0.522,,"\item We show that the signal survives to the answer position, in directions the Yes/No readout does not use, and that retraining only the projector recovers the overall AUC on five of seven datasets but leaves the conflict segments at chance.",\item We localize the utility gap to the final readout of the LLM from representations and show that retraining only the projector recovers most of the performance.
59,63,sentence,edited,0.660,,"For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds, and the area under the ROC curve (AUC) is \beginequation AUC^probe_\ell = AUC\big(\sigma(\mathbfw_\ell^\top\bar\mathbfh_\ell + b_\ell), y\big), \labeleq:probe \endequation where y is the label and \bar\mathbfh_\ell is the mean-pooled activation.",For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds and the AUC is calculated as follows.
