status,line,item_id,paper_value,file_value,file_path,triage_2325Z,verified_value,verified_file,why,triage,context
MISMATCH,67,L67_321,0.89,0.5635,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,MISPAIRING,"0.8968 (smallest median Yes+No mass over 70 zero-shot cells, AF3 PC-GITA); E-DAIC whole-interview cell 0.9969",<local data dir>/release/edaic_rerun/part16/M9_answer_mass.csv; part23/A/A2_edaic_whole_zeroshot_perclip.csv,Matcher paired the mass floor with the PC-GITA zero-shot AUC. 'At least 0.89' is a true floor (0.8968 would round to 0.90).,UNTRIAGED (new since the 06:38 run),"We then ask the model the same prompt (clinical question) and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation AUC^answer = AUC(p(Y), y), \quad p(Y) = \frac\sum_t\in\mathcalY\pi_t\sum_t\in\mathcalY\cup\mathcalN\pi_t, \labeleq:answer \endequation where \pi is the softmax over the vocabulary at the first answer position and \mat"
MISMATCH,77,L77_360,0.43 to 0.62,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,MISPAIRING,"KCL 0.4315, NeuroVoz 0.5814, PC-GITA 0.6196","<local data dir>/release/scores/part20/POD6/A_language_saliency/A_tfidf_{kcl,neurovoz,pcgita}_oof.csv",Matcher used the Qwen2.5-Omni transcript answers; the sentence is the TF-IDF regression (same as the 06:38 triage).,PROBABLY MISPAIRING (sentence edited; was line 77),"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets."
MISMATCH,77,L77_398,0.68,0.823,<local data dir>/release/overnight2/text_new/o25_edaicfull_text.json,MISPAIRING,"0.6778 [0.5973, 0.7549] n=275",<local data dir>/release/scores/part20/POD6/A_language_saliency/A_tfidf_edaicfull_oof.csv,Matcher used the Qwen2.5-Omni transcript answer 0.823 (same as the 06:38 triage).,PROBABLY MISPAIRING (sentence edited; was line 77),"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets."
MISMATCH,77,L77_433,0.84 to 0.93,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,MISPAIRING,"Pitt 0.8353, ADReSSo 0.8471, ADReSS-2020 0.9254","<local data dir>/release/scores/part20/POD6/A_language_saliency/A_tfidf_{pitt,adresso,adress2020}_oof.csv",Matcher reused the Parkinson's answer set (same as the 06:38 triage).,PROBABLY MISPAIRING (sentence edited; was line 77),"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets."
MISMATCH,92,L92_538,0.07,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,MISPAIRING,"max 0.0664, mean 0.0240 over 14 wording runs","<local data dir>/release/omni_final/omni_{ds}_{zeroshot,p2,p3}.json","Matcher paired the largest wording shift with the E-DAIC answer AUC. Caveat: the E-DAIC wording runs are 30 s windows, not the whole-interview Table 1 cell.",UNTRIAGED (new since the 06:38 run),"For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most."
MISMATCH,97,L97_803,30 to 56,0.5635 to 0.7143,omni_kcl_zeroshot.json ; omni_neurovoz_zeroshot.json ; omni_pcgita_zeroshot.json,MISPAIRING,"segments 30.0 to 55.6 s, median 33.3 s",<local data dir>/DementiaBank/pitt_conflict_manifest.csv,Matcher paired durations in seconds with zero-shot AUCs.,UNTRIAGED (new since the 06:38 run),Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.
MISMATCH,125,L125_27,0.84,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,WRONG COPY,"0.8366 [0.7786, 0.8866] n=275",part23/A/A2_edaic_whole_zeroshot_perclip.csv (p_yes_whole),"Right quantity, superseded run: the matcher looks up the first-300 s run (o25_full_zeroshot.json, 0.8285); Table 1 now reports the whole interview (line 81).",UNTRIAGED (new since the 06:38 run),E-DAIC | Zero-shot Audio :: E-DAIC & 275 (275) & 0.84 & 0.82 & 0.86
MISMATCH,125,L125_41,0.86,0.6421,<local data dir>/release/edaic_rerun/variants/sft_full_sft.json,WRONG COPY,"0.8589 [0.8050, 0.9029] n=275 (seed 0)",part24/FT/FT24_whole_seed0_perclip.csv,"Right quantity, superseded run: the matcher looks up the first-300 s projector FT (sft_full_sft.json, 0.6421); the paper reports the PART 24 whole-interview FT.",UNTRIAGED (new since the 06:38 run),E-DAIC | Fine-tuned Audio :: E-DAIC & 275 (275) & 0.84 & 0.82 & 0.86
MISMATCH,140,L140_549,0.72,0.633,<local data dir>/release/edaic_rerun/variants/q2a_full_zeroshot.json,MISPAIRING,"0.7205 [0.6531, 0.7917] n=275",<local data dir>/release/edaic_rerun/variants/o25_mid30_zeroshot_scores.csv,Matcher paired the Qwen2.5-Omni middle-30 s answer with Qwen2-Audio (0.633).,UNTRIAGED (new since the 06:38 run),"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window."
MISMATCH,149,L149_1096,0.67,0.6872,<local data dir>/release/edaic_rerun/confounds/confound_auc.csv,MISPAIRING,"0.6657 (five features, PC-GITA, before)",<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,Matcher paired it with the single noise-floor feature (0.6872).,UNTRIAGED (new since the 06:38 run),"Five recording features from the quietest frames (noise floor, SNR, spectral centroid, roll-off and tilt) separate the NeuroVoz groups at 0.80 and the PC-GITA groups at 0.67, so part of the Parkinson's probe may come from the recording channel."
