id,speaker,arm,p_yes,answer_mass,prompt
300,300,full,0.1193009035,0.9966584295,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
301,301,full,0.0954628358,0.9962386116,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
302,302,full,0.0954656450,0.9951454699,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
303,303,full,0.0804199504,0.9965320751,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
304,304,full,0.0474740831,0.9976577386,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
305,305,full,0.0759314685,0.9953574166,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
306,306,full,0.0759455848,0.9956436008,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
307,307,full,0.0954215316,0.9957627803,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
308,308,full,0.1260372440,0.9960796386,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
309,309,full,0.1735260273,0.9962217212,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
310,310,full,0.0852408553,0.9962714314,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
311,311,full,0.0902117222,0.9970282167,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
312,312,full,0.1405229350,0.9949091375,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
313,313,full,0.1069154180,0.9944541603,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
314,314,full,0.0637835922,0.9966877475,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
315,315,full,0.2229670950,0.9927735776,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
316,316,full,0.1068124632,0.9960203245,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
317,317,full,0.1010413623,0.9963004142,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
318,318,full,0.1331073229,0.9968019426,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
319,319,full,0.0759171220,0.9967361614,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
320,320,full,0.1563366743,0.9952360243,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
321,321,full,0.0954692170,0.9965794012,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
322,322,full,0.1193566401,0.9963758513,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
323,323,full,0.1194071206,0.9966164008,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
324,324,full,0.1068264873,0.9953914508,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
325,325,full,0.2122304267,0.9966601580,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
326,326,full,0.0716733005,0.9963735789,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
327,327,full,0.0852109664,0.9965475276,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
328,328,full,0.0804629673,0.9962055236,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
329,329,full,0.1129400191,0.9955428615,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
330,330,full,0.1192808408,0.9958625808,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
331,331,full,0.1481858447,0.9958294183,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
332,332,full,0.0716499560,0.9961939827,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
333,333,full,0.0901644622,0.9970399737,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
334,334,full,0.1068176930,0.9962093383,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
335,335,full,0.1009971928,0.9947650656,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
336,336,full,0.0955067734,0.9957655519,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
337,337,full,0.1562758453,0.9956683218,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
338,338,full,0.1562888906,0.9952823073,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
339,339,full,0.0804340498,0.9953176230,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
340,340,full,0.1129333091,0.9950727746,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
341,341,full,0.1009717317,0.9969183281,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
343,343,full,0.2122921837,0.9964174628,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
344,344,full,0.0902393001,0.9970068783,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
345,345,full,0.0601426340,0.9969184771,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
346,346,full,0.1068050171,0.9956022203,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
347,347,full,0.1405651324,0.9960866421,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
348,348,full,0.0902163011,0.9962403700,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
349,349,full,0.1826786574,0.9963493049,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
350,350,full,0.0759517347,0.9961343929,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
351,351,full,0.0716944159,0.9970642626,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
352,352,full,0.1193299570,0.9955373481,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
