row,seg_uid,clip,speaker,arm,pair_id,fold,p_yes,answer_mass,p_yes_sft,p_yes_rule3_literal,answer_mass_rule3_literal,prompt
0,c000010,conflict_301_c000010.wav,301,conflict,0,4,0.2815225049,0.9983497560,0.1602660269,0.2815224029,0.9983508587,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
1,c000015,conflict_301_c000015.wav,301,conflict,1,4,0.1009341529,0.9986690432,0.0618759841,0.1009341604,0.9986697808,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
2,c000036,conflict_302_c000036.wav,302,conflict,2,3,0.9832557401,0.9987912476,0.9790357351,0.9832556949,0.9987931121,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
3,c000040,conflict_302_c000040.wav,302,conflict,3,3,0.9885104668,0.9983171215,0.9840936065,0.9885104386,0.9983184766,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
4,c000064,conflict_303_c000064.wav,303,conflict,4,2,0.0331142824,0.9932940528,0.0140636265,0.0331143283,0.9932951480,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
5,c000146,conflict_306_c000146.wav,306,conflict,5,0,0.9956714799,0.9997339365,0.9932025075,0.9956714758,0.9997341800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
6,c000148,conflict_306_c000148.wav,306,conflict,6,0,0.9830967601,0.9994747248,0.9697853923,0.9830967469,0.9994750414,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
7,c000149,conflict_306_c000149.wav,306,conflict,7,0,0.9809087061,0.9990313351,0.9658995867,0.9809086823,0.9990318455,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
8,c000157,conflict_307_c000157.wav,307,conflict,8,3,0.9688466538,0.9978401996,0.9343951344,0.9688465753,0.9978415109,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
9,c000159,conflict_307_c000159.wav,307,conflict,9,3,0.9867887262,0.9983602129,0.9715639949,0.9867886830,0.9983619479,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
