model,source_tag,set,arm,n,n_spk,n_pos,auc,lo,hi,below_half,verdict,boot_usable,source_file
Qwen2.5-Omni,primary,A_edaic_part14,conflict,483,138,205,0.2218,0.1829,0.2632,True,below 0.5,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,primary,A_edaic_part14,agreement,483,138,205,0.9482,0.9039,0.9828,False,above 0.5,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,primary,A_edaic_part14,conflict_minus_agreement,966,138,410,-0.7264,-0.7786,-0.6655,True,below 0,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2-Audio,primary,A_edaic_part14,conflict,483,138,205,0.228,0.1816,0.2782,True,below 0.5,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,primary,A_edaic_part14,agreement,483,138,205,0.9478,0.9128,0.9762,False,above 0.5,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,primary,A_edaic_part14,conflict_minus_agreement,966,138,410,-0.7198,-0.7689,-0.6679,True,below 0,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
Qwen3-Omni-30B-A3B,primary,A_edaic_part14,conflict,483,138,205,0.3008,0.2454,0.3641,True,below 0.5,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q3o_zeroshot_scores.csv
Qwen3-Omni-30B-A3B,primary,A_edaic_part14,agreement,483,138,205,0.9638,0.9336,0.9864,False,above 0.5,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q3o_zeroshot_scores.csv
Qwen3-Omni-30B-A3B,primary,A_edaic_part14,conflict_minus_agreement,966,138,410,-0.663,-0.7192,-0.603,True,below 0,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q3o_zeroshot_scores.csv
Audio Flamingo 2,primary,A_edaic_part14,conflict,483,138,205,0.5286,0.4512,0.6015,False,straddles 0.5,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_af2.csv
