id	what	value	lo	hi	n	n_spk	file
M8	Qwen2.5-Omni | A_edaic_part14 | conflict | src=primary	0.2218	0.1829	0.2632	483	138	scores/edaic_conflict_v2/p14_o25_zeroshot_scores.csv
M8	Qwen2.5-Omni | A_edaic_part14 | agreement | src=primary	0.9482	0.9039	0.9828	483	138	scores/edaic_conflict_v2/p14_o25_zeroshot_scores.csv
M8	Qwen2.5-Omni | A_edaic_part14 | conflict_minus_agreement | src=primary	-0.7264	-0.7786	-0.6655	966	138	scores/edaic_conflict_v2/p14_o25_zeroshot_scores.csv
M8	Qwen2-Audio | A_edaic_part14 | conflict | src=primary	0.2280	0.1816	0.2782	483	138	scores/edaic_conflict_v2/p14_q2a_zeroshot_scores.csv
M8	Qwen2-Audio | A_edaic_part14 | agreement | src=primary	0.9478	0.9128	0.9762	483	138	scores/edaic_conflict_v2/p14_q2a_zeroshot_scores.csv
M8	Qwen2-Audio | A_edaic_part14 | conflict_minus_agreement | src=primary	-0.7198	-0.7689	-0.6679	966	138	scores/edaic_conflict_v2/p14_q2a_zeroshot_scores.csv
M8	Qwen3-Omni-30B-A3B | A_edaic_part14 | conflict | src=primary	0.3008	0.2454	0.3641	483	138	scores/edaic_conflict_v2/p14_q3o_zeroshot_scores.csv
M8	Qwen3-Omni-30B-A3B | A_edaic_part14 | agreement | src=primary	0.9638	0.9336	0.9864	483	138	scores/edaic_conflict_v2/p14_q3o_zeroshot_scores.csv
M8	Qwen3-Omni-30B-A3B | A_edaic_part14 | conflict_minus_agreement | src=primary	-0.6630	-0.7192	-0.6030	966	138	scores/edaic_conflict_v2/p14_q3o_zeroshot_scores.csv
M8	Audio Flamingo 2 | A_edaic_part14 | conflict | src=primary	0.5286	0.4512	0.6015	483	138	scores/edaic_conflict_v2/p14_af2.csv
M8	Audio Flamingo 2 | A_edaic_part14 | agreement | src=primary	0.6083	0.5126	0.6997	483	138	scores/edaic_conflict_v2/p14_af2.csv
M8	Audio Flamingo 2 | A_edaic_part14 | conflict_minus_agreement | src=primary	-0.0797	-0.1488	-0.0104	966	138	scores/edaic_conflict_v2/p14_af2.csv
M8	Audio Flamingo 3 | A_edaic_part14 | conflict | src=primary	0.4235	0.3606	0.4880	483	138	scores/edaic_conflict_v2/p14_af3.csv
M8	Audio Flamingo 3 | A_edaic_part14 | agreement | src=primary	0.8095	0.7447	0.8696	483	138	scores/edaic_conflict_v2/p14_af3.csv
M8	Audio Flamingo 3 | A_edaic_part14 | conflict_minus_agreement | src=primary	-0.3860	-0.4675	-0.3018	966	138	scores/edaic_conflict_v2/p14_af3.csv
M8	Kimi-Audio | A_edaic_part14 | conflict | src=primary	0.5258	0.4501	0.5977	483	138	scores/edaic_conflict_v2/p14_kimi_zeroshot_scores.csv
M8	Kimi-Audio | A_edaic_part14 | agreement | src=primary	0.8744	0.8172	0.9223	483	138	scores/edaic_conflict_v2/p14_kimi_zeroshot_scores.csv
M8	Kimi-Audio | A_edaic_part14 | conflict_minus_agreement | src=primary	-0.3486	-0.4248	-0.2795	966	138	scores/edaic_conflict_v2/p14_kimi_zeroshot_scores.csv
M8	Qwen2.5-Omni | B_pitt | conflict | src=primary	0.5322	0.4216	0.6447	146	100	<local data dir>/Desktop/release/omni_final/omni_pitt_zeroshot_scores.csv
M8	Qwen2.5-Omni | B_pitt | agreement | src=primary	0.7054	0.6431	0.7658	322	175	<local data dir>/Desktop/release/omni_final/omni_pitt_zeroshot_scores.csv
M8	Qwen2.5-Omni | B_pitt | conflict_minus_agreement | src=primary	-0.1731	-0.2958	-0.0392	468	228	<local data dir>/Desktop/release/omni_final/omni_pitt_zeroshot_scores.csv
M8	Qwen2-Audio | B_pitt | conflict | src=primary	0.4132	0.3005	0.5423	146	100	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv
M8	Qwen2-Audio | B_pitt | agreement | src=primary	0.6985	0.6372	0.7597	322	175	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv
M8	Qwen2-Audio | B_pitt | conflict_minus_agreement | src=primary	-0.2853	-0.3950	-0.1485	468	228	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv
M8	Qwen3-Omni-30B-A3B | B_pitt | conflict | src=primary	0.6066	0.4956	0.7123	146	100	<local data dir>/Desktop/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv
M8	Qwen3-Omni-30B-A3B | B_pitt | agreement | src=primary	0.8231	0.7664	0.8720	322	175	<local data dir>/Desktop/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv
M8	Qwen3-Omni-30B-A3B | B_pitt | conflict_minus_agreement | src=primary	-0.2165	-0.3242	-0.1052	468	228	<local data dir>/Desktop/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv
M8	Audio Flamingo 2 | B_pitt | conflict | src=af2_pitt468	0.6310	0.5336	0.7260	146	100	<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv
M8	Audio Flamingo 2 | B_pitt | agreement | src=af2_pitt468	0.5544	0.4760	0.6296	322	175	<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv
M8	Audio Flamingo 2 | B_pitt | conflict_minus_agreement | src=af2_pitt468	0.0766	-0.0307	0.1869	468	228	<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv
M8	Audio Flamingo 2 | B_pitt | conflict | src=af2_pitt_audio	0.6691	0.5650	0.7654	146	100	<local data dir>/paper1_local_runs/af2_pitt_audio.csv
M8	Audio Flamingo 2 | B_pitt | agreement | src=af2_pitt_audio	0.4895	0.4182	0.5591	322	175	<local data dir>/paper1_local_runs/af2_pitt_audio.csv
M8	Audio Flamingo 2 | B_pitt | conflict_minus_agreement | src=af2_pitt_audio	0.1796	0.0702	0.2825	468	228	<local data dir>/paper1_local_runs/af2_pitt_audio.csv
M8	Audio Flamingo 3 | B_pitt | conflict | src=primary	0.6169	0.5188	0.7209	146	100	<local data dir>/Desktop/release/overnight2/part3/af3_pitt.csv
M8	Audio Flamingo 3 | B_pitt | agreement | src=primary	0.5822	0.5080	0.6528	322	175	<local data dir>/Desktop/release/overnight2/part3/af3_pitt.csv
M8	Audio Flamingo 3 | B_pitt | conflict_minus_agreement | src=primary	0.0347	-0.0698	0.1474	468	228	<local data dir>/Desktop/release/overnight2/part3/af3_pitt.csv
M8	Kimi-Audio | B_pitt | conflict | src=primary	0.7197	0.6201	0.8147	146	100	<local data dir>/Desktop/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv
M8	Kimi-Audio | B_pitt | agreement | src=primary	0.7227	0.6560	0.7896	322	175	<local data dir>/Desktop/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv
M8	Kimi-Audio | B_pitt | conflict_minus_agreement | src=primary	-0.0030	-0.1134	0.1065	468	228	<local data dir>/Desktop/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv
M8	Kimi-Audio | B_pitt | conflict | src=alt_overnight_copy	0.7078	0.6037	0.8083	146	100	<local data dir>/Desktop/release/overnight/kimi/kimi_pitt_zeroshot_scores.csv
M8	Kimi-Audio | B_pitt | agreement | src=alt_overnight_copy	0.7014	0.6309	0.7730	322	175	<local data dir>/Desktop/release/overnight/kimi/kimi_pitt_zeroshot_scores.csv
M8	Kimi-Audio | B_pitt | conflict_minus_agreement | src=alt_overnight_copy	0.0064	-0.1140	0.1224	468	228	<local data dir>/Desktop/release/overnight/kimi/kimi_pitt_zeroshot_scores.csv
