id	claimed	recomputed	verified
T5_pitt_enc_pod10_maxabs	0	0	yes
T5_pitt_enc_pod10_match4dp	32/32	32/32	yes
T5_pitt_enc_pod10_meanstd_match4dp	32/32 and 32/32	32/32 and 32/32	yes
T5_pitt_enc_pod10_layers_above	31/32 vs 31/32	31/32 vs 31/32	yes
T5_pitt_proj_pod10_maxabs	0	0	yes
T5_pitt_proj_pod10_match4dp	1/1	1/1	yes
T5_pitt_proj_pod10_meanstd_match4dp	1/1 and 1/1	1/1 and 1/1	yes
T5_pitt_llm_pod2_maxabs	0	0	yes
T5_pitt_llm_pod2_match4dp	29/29	29/29	yes
T5_pitt_llm_pod2_meanstd_match4dp	29/29 and 29/29	29/29 and 29/29	yes
T5_pitt_ans_pod13_maxabs	0	0	yes
T5_pitt_ans_pod13_match4dp	29/29	29/29	yes
T5_pitt_ans_pod13_meanstd_match4dp	29/29 and 29/29	29/29 and 29/29	yes
T5_edaic_first30_enc_pod10_maxabs	0	0	yes
T5_edaic_first30_enc_pod10_match4dp	32/32	32/32	yes
T5_edaic_first30_enc_pod10_meanstd_match4dp	32/32 and 32/32	32/32 and 32/32	yes
T5_edaic_first30_enc_pod10_layers_above	2/32 vs 2/32	2/32 vs 2/32	yes
T5_edaic_first30_enc_pod9_maxabs	0	0	yes
T5_edaic_first30_enc_pod9_match4dp	32/32	32/32	yes
T5_edaic_first30_enc_pod9_meanstd_match4dp	32/32 and 32/32	32/32 and 32/32	yes
T5_edaic_first30_enc_pod9_layers_above	2/32 vs 2/32	2/32 vs 2/32	yes
T5_edaic_first30_proj_pod10_maxabs	0	0	yes
T5_edaic_first30_proj_pod10_match4dp	1/1	1/1	yes
T5_edaic_first30_proj_pod10_meanstd_match4dp	1/1 and 1/1	1/1 and 1/1	yes
T5_edaic_first30_proj_pod9_maxabs	0	0	yes
T5_edaic_first30_proj_pod9_match4dp	1/1	1/1	yes
T5_edaic_first30_proj_pod9_meanstd_match4dp	1/1 and 1/1	1/1 and 1/1	yes
T5_edaic_first30_llm_pod5_maxabs	0	0	yes
T5_edaic_first30_llm_pod5_match4dp	29/29	29/29	yes
T5_edaic_first30_llm_pod5_meanstd_match4dp	29/29 and 29/29	29/29 and 29/29	yes
T5_edaic_first30_ans_pod6_maxabs	0	0	yes
T5_edaic_first30_ans_pod6_match4dp	29/29	29/29	yes
T5_edaic_first30_ans_pod6_meanstd_match4dp	29/29 and 29/29	29/29 and 29/29	yes
T5_adress2020_enc_pod7_maxabs	2.88e-03	2.88e-03	yes
T5_adress2020_enc_pod7_match4dp	1/32	1/32	yes
T5_adress2020_enc_pod7_meanstd_match4dp	5/32 and 1/32	5/32 and 1/32	yes
