key,model,dataset,stream/arm,value,lo,hi,n,n_spk,estimator,file,source_table,verified_tonight,stream,arm,status,status_note,description,is_delta,file_exists,file_as_recorded,path_rewritten,row_id,metric,level
Audio Flamingo 2|adress2020|zero_shot|all,Audio Flamingo 2,adress2020,zero_shot/all,0.6179,,,156,,zero shot,<local data dir>/paper work/paper1_local_runs/af2_results/af2_adress2020.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 adress2020 zero shot answer,no,yes,<local data dir>/paper1_local_runs/af2_results/af2_adress2020.csv,yes,master_lookup.csv:2,auc,clip
Audio Flamingo 2|adresso|zero_shot|all,Audio Flamingo 2,adresso,zero_shot/all,0.5911,,,237,,zero shot,<local data dir>/paper work/paper1_local_runs/af2_results/af2_adresso237.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 adresso zero shot answer,no,yes,<local data dir>/paper1_local_runs/af2_results/af2_adresso237.csv,yes,master_lookup.csv:3,auc,clip
Audio Flamingo 2|edaic|zero_shot|all,Audio Flamingo 2,edaic,zero_shot/all,0.5602,,,275,,zero shot,<local data dir>/paper work/paper1_local_runs/af2_results/af2_edaic275.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 edaic zero shot answer,no,yes,<local data dir>/paper1_local_runs/af2_results/af2_edaic275.csv,yes,master_lookup.csv:4,auc,clip
Audio Flamingo 2|edaic_conflict_390|zero_shot|all,Audio Flamingo 2,edaic_conflict_390,zero_shot/all,0.5363,,,390,,"zero shot, 30 s window, voice prompt, 390 manifest rows",<local data dir>/release/edaic_conflict_new/af2/af2_edaic_conflict_30s.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 edaic_conflict zero shot answer,no,yes,<local data dir>/release/edaic_conflict_new/af2/af2_edaic_conflict_30s.csv,no,master_lookup.csv:5,auc,clip
Audio Flamingo 2|kcl|zero_shot|all,Audio Flamingo 2,kcl,zero_shot/all,0.8185,,,37,,zero shot,<local data dir>/paper work/paper1_local_runs/af2_results/af2_kcl37.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 kcl zero shot answer,no,yes,<local data dir>/paper1_local_runs/af2_results/af2_kcl37.csv,yes,master_lookup.csv:6,auc,clip
Audio Flamingo 2|neurovoz|zero_shot|all,Audio Flamingo 2,neurovoz,zero_shot/all,0.5792,,,1270,,zero shot,<local data dir>/paper work/paper1_local_runs/af2_results/af2_neurovoz1270.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 neurovoz zero shot answer,no,yes,<local data dir>/paper1_local_runs/af2_results/af2_neurovoz1270.csv,yes,master_lookup.csv:7,auc,clip
Audio Flamingo 2|pcgita|zero_shot|all,Audio Flamingo 2,pcgita,zero_shot/all,0.5771,,,1100,,zero shot,<local data dir>/paper work/paper1_local_runs/af2_results/af2_pcgita1100.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 pcgita zero shot answer,no,yes,<local data dir>/paper1_local_runs/af2_results/af2_pcgita1100.csv,yes,master_lookup.csv:8,auc,clip
Audio Flamingo 2|pitt|zero_shot|all,Audio Flamingo 2,pitt,zero_shot/all,0.5724,,,468,,"zero shot; canonical AF2 Pitt file (authors' decision 2026-09-23); conflict arm 0.6310 and agreement arm 0.5544 from the same file (rows pitt_conflict / pitt_agreement) [SUPERSEDES af2_pitt_audio.csv: pooled 0.5273, conflict 0.6691, agreement 0.4895]",<local data dir>/paper work/paper1_local_runs/af2_results/af2_pitt468.csv,master_lookup,no,zero_shot,all,current,,Audio Flamingo 2 pitt zero shot answer,no,yes,<local data dir>/paper work/paper1_local_runs/af2_results/af2_pitt468.csv,no,master_lookup.csv:9,auc,clip
Audio Flamingo 3|adress2020|zero_shot|all,Audio Flamingo 3,adress2020,zero_shot/all,0.4929,,,156,,"zero shot, 30 s window",<local data dir>/release/overnight2/af3_new/af3_adress2020.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 adress2020 zero shot answer,no,yes,<local data dir>/release/overnight2/af3_new/af3_adress2020.json,no,master_lookup.csv:10,auc,clip
Audio Flamingo 3|adresso|zero_shot|all,Audio Flamingo 3,adresso,zero_shot/all,0.5451,,,237,,"zero shot, 30 s window",<local data dir>/release/overnight2/af3_new/af3_adresso.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 adresso zero shot answer,no,yes,<local data dir>/release/overnight2/af3_new/af3_adresso.json,no,master_lookup.csv:11,auc,clip
Audio Flamingo 3|edaic|zero_shot|all,Audio Flamingo 3,edaic,zero_shot/all,0.5975,,,275,,"zero shot, 30 s window",<local data dir>/release/overnight2/part10/af3_edaic.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 edaic zero shot answer,no,yes,<local data dir>/release/overnight2/part10/af3_edaic.json,no,master_lookup.csv:12,auc,clip
Audio Flamingo 3|edaic_conflict_390|zero_shot|all,Audio Flamingo 3,edaic_conflict_390,zero_shot/all,0.641,,,390,,"zero shot, 30 s window, 390 conflict-manifest rows",<local data dir>/release/edaic_conflict_new/af3_edaic_conflict.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 edaic_conflict zero shot answer,no,yes,<local data dir>/release/edaic_conflict_new/af3_edaic_conflict.json,no,master_lookup.csv:13,auc,clip
Audio Flamingo 3|kcl|zero_shot|all,Audio Flamingo 3,kcl,zero_shot/all,0.6339,,,37,,"zero shot, 30 s window",<local data dir>/release/overnight2/part3/af3_kcl.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 kcl zero shot answer,no,yes,<local data dir>/release/overnight2/part3/af3_kcl.json,no,master_lookup.csv:14,auc,clip
Audio Flamingo 3|neurovoz|zero_shot|all,Audio Flamingo 3,neurovoz,zero_shot/all,0.6006,,,1270,,"zero shot, 30 s window",<local data dir>/release/overnight2/af3_new/af3_neurovoz.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 neurovoz zero shot answer,no,yes,<local data dir>/release/overnight2/af3_new/af3_neurovoz.json,no,master_lookup.csv:15,auc,clip
Audio Flamingo 3|pcgita|zero_shot|all,Audio Flamingo 3,pcgita,zero_shot/all,0.5508,,,1100,,"zero shot, 30 s window",<local data dir>/release/overnight2/part3/af3_pcgita.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 pcgita zero shot answer,no,yes,<local data dir>/release/overnight2/part3/af3_pcgita.json,no,master_lookup.csv:16,auc,clip
Audio Flamingo 3|pitt|zero_shot|all,Audio Flamingo 3,pitt,zero_shot/all,0.5885,,,468,,"zero shot, 30 s window",<local data dir>/release/overnight2/part3/af3_pitt.json,master_lookup,no,zero_shot,all,current,,Audio Flamingo 3 pitt zero shot answer,no,yes,<local data dir>/release/overnight2/part3/af3_pitt.json,no,master_lookup.csv:17,auc,clip
Kimi-Audio|adress2020|lm_probe|all,Kimi-Audio,adress2020,lm_probe/all,0.92,,,156,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_adress2020_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Kimi-Audio adress2020 LM probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_adress2020_nested_repeats.json,no,master_lookup.csv:18,auc,clip
Kimi-Audio|adress2020|answer_state_probe|all,Kimi-Audio,adress2020,answer_state_probe/all,0.8812,,,156,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_adress2020_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Kimi-Audio adress2020 answer-state probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_adress2020_nested_repeats.json,no,master_lookup.csv:19,auc,clip
