model	dataset	condition	master_json	tsv_probe_master	json_probe_mean	json_per_repeat	json_mean_matches_tsv	tsv_zs_master	zs_recomputed	zs_matches	zs_n	zs_file	tsv_diff_lo	tsv_diff_hi	tsv_point	tsv_probe_source	probe_file	probe_md5	kind	n_probe	n_joined	n_spk	labels_agree	per_repeat_recomputed	probe_recomputed	per_repeat_matches_json	probe_mean_matches_master	point_diff	key	diff_lo	diff_hi	boot_usable	excludes_zero	probe_above_answer
Qwen2-Audio	PC-GITA	PD	<local data dir>/paper1_local_runs/omni_final/q2a_pcgita_nested_repeats.json	0.9097	0.9097	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	yes	0.5369	0.5369	yes	1100	<local data dir>/paper1_local_runs/probe2/pcgita_zeroshot_scores.csv	0.3083	0.435	0.3763	<local data dir>/paper1_local_runs/probe2/pcgita_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/pcgita_enc_nested_oof.csv	979348664fddb831a40a7846ac18261b	single	1100	1100	100	yes	[0.9133]	0.9133		NO	0.3763	q2a_pcgita_00	0.3083	0.435	2000	yes	yes
Qwen2-Audio	PC-GITA	PD	<local data dir>/paper1_local_runs/omni_final/q2a_pcgita_nested_repeats.json	0.9097	0.9097	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	yes	0.5369	0.5369	yes	1100	<local data dir>/paper1_local_runs/probe2/pcgita_zeroshot_scores.csv	0.3083	0.435	0.3763	<local data dir>/paper1_local_runs/probe2/pcgita_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/pcgita_ash_enc_nested_oof.csv	542a9a7bf4261efd2a15aa8d00e287a4	single	1100	1100	100	yes	[0.9131]	0.9131		NO	0.3762	q2a_pcgita_01	0.3084	0.4348	2000	yes	yes
Qwen2-Audio	PC-GITA	PD	<local data dir>/paper1_local_runs/omni_final/q2a_pcgita_nested_repeats.json	0.9097	0.9097	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	yes	0.5369	0.5369	yes	1100	<local data dir>/paper1_local_runs/probe2/pcgita_zeroshot_scores.csv	0.3083	0.435	0.3763	<local data dir>/paper1_local_runs/probe2/pcgita_enc_nested_oof.csv	scores/part25/C/pull/p25C-2/out/q2a_pcgita_enc_rep5_oof.csv	e88aff17cda38cb3c14751a2a93ad62f	rep5	1100	1100	100	yes	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	0.9097	yes	yes	0.3728	q2a_pcgita_02	0.3104	0.4271	2000	yes	yes
Qwen2-Audio	NeuroVoz	PD	<local data dir>/paper1_local_runs/omni_final/q2a_neurovoz_nested_repeats.json	0.9324	0.9324	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	yes	0.5519	0.5519	yes	1270	<local data dir>/paper1_local_runs/probe2/neurovoz_zeroshot_scores.csv	0.3303	0.4399	0.3864	<local data dir>/paper1_local_runs/probe2/neurovoz_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/neurovoz_enc_nested_oof.csv	a862705c2a7fc3d68e1d7394d9f5d29d	single	1270	1270	107	yes	[0.9383]	0.9383		NO	0.3864	q2a_neurovoz_03	0.3303	0.4399	2000	yes	yes
Qwen2-Audio	NeuroVoz	PD	<local data dir>/paper1_local_runs/omni_final/q2a_neurovoz_nested_repeats.json	0.9324	0.9324	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	yes	0.5519	0.5519	yes	1270	<local data dir>/paper1_local_runs/probe2/neurovoz_zeroshot_scores.csv	0.3303	0.4399	0.3864	<local data dir>/paper1_local_runs/probe2/neurovoz_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/pod_runs/neurovoz_enc_nested_oof.csv	c220ccaded667de47312d91535e204cb	single	1270	1270	107	yes	[0.9296]	0.9296		NO	0.3777	q2a_neurovoz_04	0.3178	0.4354	2000	yes	yes
Qwen2-Audio	NeuroVoz	PD	<local data dir>/paper1_local_runs/omni_final/q2a_neurovoz_nested_repeats.json	0.9324	0.9324	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	yes	0.5519	0.5519	yes	1270	<local data dir>/paper1_local_runs/probe2/neurovoz_zeroshot_scores.csv	0.3303	0.4399	0.3864	<local data dir>/paper1_local_runs/probe2/neurovoz_enc_nested_oof.csv	scores/part25/C/pull/p25C-3/out/q2a_neurovoz_enc_rep5_oof.csv	b9a2a74f5a70c6b39816bde4661d3466	rep5	1270	1270	107	yes	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	0.9324	yes	yes	0.3805	q2a_neurovoz_05	0.3278	0.4325	2000	yes	yes
Qwen2-Audio	MDVR-KCL	PD	<local data dir>/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json	0.7714	0.7714	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	yes	0.5923	0.5923	yes	37	<local data dir>/paper1_local_runs/probe2/kcl_zeroshot_scores.csv	0.003	0.4867	0.2351	<local data dir>/paper1_local_runs/probe2/kcl_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/kcl_enc_nested_oof.csv	e2d5fc3943dc34be638ad5e8160031b3	single	37	37	37	yes	[0.8274]	0.8274		NO	0.2351	q2a_kcl_06	0.003	0.4867	2000	yes	yes
Qwen2-Audio	MDVR-KCL	PD	<local data dir>/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json	0.7714	0.7714	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	yes	0.5923	0.5923	yes	37	<local data dir>/paper1_local_runs/probe2/kcl_zeroshot_scores.csv	0.003	0.4867	0.2351	<local data dir>/paper1_local_runs/probe2/kcl_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/kcl_local_enc_nested_oof.csv	3a586f77c227dcaf6d489d48e95ac709	single	37	37	37	yes	[0.8095]	0.8095		NO	0.2173	q2a_kcl_07	-0.028	0.4766	2000	no	yes
Qwen2-Audio	MDVR-KCL	PD	<local data dir>/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json	0.7714	0.7714	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	yes	0.5923	0.5923	yes	37	<local data dir>/paper1_local_runs/probe2/kcl_zeroshot_scores.csv	0.003	0.4867	0.2351	<local data dir>/paper1_local_runs/probe2/kcl_enc_nested_oof.csv	scores/part25/C/pull/p25C-2/out/q2a_kcl_enc_rep5_oof.csv	6980014c7bd4a7ac4b272ad2a902163b	rep5	37	37	37	yes	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	0.7714	yes	yes	0.1792	q2a_kcl_08	-0.0503	0.4305	2000	no	yes
Qwen2-Audio	E-DAIC	MDD	<local data dir>/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json	0.5673	0.5673	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	yes	0.6464	0.6464	yes	275	<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv	-0.1586	0.0476	-0.0527	<local data dir>/paper1_local_runs/probe2/edaic_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/edaic_enc_nested_oof.csv	6cad4da71eb68772b7b3180ce0508a2c	single	275	275	275	yes	[0.5937]	0.5937		NO	-0.0527	q2a_edaic_09	-0.1586	0.0476	2000	no	no
Qwen2-Audio	E-DAIC	MDD	<local data dir>/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json	0.5673	0.5673	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	yes	0.6464	0.6464	yes	275	<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv	-0.1586	0.0476	-0.0527	<local data dir>/paper1_local_runs/probe2/edaic_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/pod_runs/edaic_enc_nested_oof.csv	13469cd7adab879a841c610523817317	single	275	275	275	yes	[0.6241]	0.6241		NO	-0.0223	q2a_edaic_10	-0.1259	0.077	2000	no	no
