row,item_id,tex,computed,match_2dp,file,how,note
0,L67_321,0.89,0.89680315554142,yes,<local data dir>/release/edaic_rerun/part16/M9_answer_mass.csv ; scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv,min median Yes+No mass over 70 zero-shot cells = 0.8968 (Audio Flamingo 3 pcgita); recomputed from af3_pcgita.csv = 0.89680315554142; E-DAIC whole median 0.9969,tex says 'at least 0.89'; true floor check (>=0.89)
1,L77_360,0.43 to 0.62,0.4315 to 0.6196,yes,<local data dir>/release/scores/part20/POD6/A_language_saliency/A_tfidf_*_oof.csv,"AUC(label,p_tfidf) KCL 0.4315 NeuroVoz 0.5814 PC-GITA 0.6196",
2,L77_398,0.68,0.6777584457010294,yes,<local data dir>/release/scores/part20/POD6/A_language_saliency/A_tfidf_edaicfull_oof.csv,"AUC [0.5973, 0.7549] n=275",
3,L77_433,0.84 to 0.93,0.8353 to 0.9254,yes,<local data dir>/release/scores/part20/POD6/A_language_saliency/A_tfidf_*_oof.csv,Pitt 0.8353 ADReSSo 0.8471 ADReSS-2020 0.9254,
4,L92_538,0.07,0.06642450047018944,yes,"<local data dir>/release/omni_final/omni_{ds}_{zeroshot_scores,p2,p3}.csv",max |wording - base| over 14 runs = 0.0664; mean 0.0240 (tex 0.02 on average),"E-DAIC wording runs are 30 s windows (omni_edaic_*), not the whole-interview Table 1 cell; pcgita/p2 +0.0071; pcgita/p3 -0.0071; neurovoz/p2 -0.0664; neurovoz/p3 -0.0418; kcl/p2 -0.0179; kcl/p3 -0.0060; edaic/p2 +0.0128; edaic/p3 +0.0222; pitt/p2 -0.0380; pitt/p3 +0.0034; adresso/p2 +0.0148; adresso/p3 +0.0589; adress2020/p2 -0.0146; adress2020/p3 +0.0251"
5,L97_803,30 to 56,30.0 to 55.6 (median 33.3),yes,<local data dir>/DementiaBank/pitt_conflict_manifest.csv,"dur column, n=468, sets {'agreement': 322, 'conflict': 146}",
8,L140_549,0.72,0.720530665506742,yes,<local data dir>/release/edaic_rerun/variants/o25_mid30_zeroshot_scores.csv,"AUC [0.6531, 0.7917] n=275",
9,L149_1096,0.67,0.6656859504132231,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,"five-feature OOF AUC, PC-GITA, before",
10,L149_1224,0.56,0.5589785123966943,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,"five-feature OOF AUC, PC-GITA, after",
11,L149_1283,0.07,-0.06607272727272717,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,"enc probe after minus before 0.8298-0.8959 = -0.0661 [-0.1181, -0.0180] paired spk bootstrap",tex prints -0.07
12,L149_1292,0.12,-0.11807733101505062,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,lower bound of row 11 interval,tex prints -0.12
13,L149_1301,0.02,-0.01800942069134837,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,upper bound of row 11 interval,tex prints -0.02
14,L149_1350,0.60,0.6024603688568316,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,"five-feature OOF AUC, NeuroVoz, after (before 0.7977, tex 0.80)",
15,L149_1402,0.03,-0.030817881591647334,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,"enc probe after minus before 0.8924-0.9233 = -0.0308 [-0.0608, -0.0012]",tex prints -0.03
16,L149_1411,0.061,-0.06081860111939197,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,lower bound (tex gives 3 dp),checked at 3 dp because tex prints -0.061
17,L149_1421,0.001,-0.0012329532883264876,yes,<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,upper bound (tex gives 3 dp),checked at 3 dp because tex prints -0.001
18,L149_1507,0.90,0.8985816533924595,yes,<local data dir>/release/scores/part20/POD6/B_neurovoz_matched/B_encprobe_nested5_nvmatched_oof.csv,mean of 5 seed AUCs 0.8986; AUC of averaged p 0.9147; p_single 0.8951; n=907 spk=76,
20,L149_1527,0.63,0.6281860528439867,yes,<local data dir>/release/scores/part20/POD6/B_neurovoz_matched/B_zeroshot_nvmatched.csv,"AUC [0.5584, 0.6985] n=907 spk=76",
