file,row,field,old,new,why,closes
<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,(whole file),backup,,<local data dir>/release/edaic_rerun/part17/rows/T7.tsv.bak_pre_notefix_23sep (md5 6837980d8d13d310f5feb3f7e5591462),copy before the note fix,
<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,line 3 (T7_published_llm_meanof5),what (note),"LM probe, mean of five per-repeat AUCs (pod run, published [0.6918, 0.7062, 0.6893, 0.7055, 0.7078]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","LM probe, mean of five per-repeat AUCs (pod run, published [0.6918, 0.7062, 0.6893, 0.7055, 0.7078]); interval now in T7b.tsv (the Linux sklearn 1.9.1 pod rerun reproduced all five per-repeat vectors, T7b/T7b_edaic300_meanof5_perclip.csv): 95% CI [0.6231, 0.7727], paired minus the zero-shot answer -0.1276 [-0.1993, -0.0629]; the old Mac note ""no interval"" is superseded, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","stale ""no interval"" note: T7b has the interval","ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL""); audit_p17 problem 6"
<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,line 4 (T7_published_enc_meanof5),what (note),"encoder probe, mean of five per-repeat AUCs (pod run, published [0.5964, 0.5826, 0.5962, 0.5608, 0.606]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","encoder probe, mean of five per-repeat AUCs (pod run, published [0.5964, 0.5826, 0.5962, 0.5608, 0.606]); interval now in T7b.tsv (the Linux sklearn 1.9.1 pod rerun reproduced all five per-repeat vectors, T7b/T7b_edaic300_meanof5_perclip.csv): 95% CI [0.5268, 0.6523], paired minus the zero-shot answer -0.2394 [-0.3188, -0.1572]; the old Mac note ""no interval"" is superseded, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","stale ""no interval"" note: T7b has the interval","ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL""); audit_p17 problem 6"
<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,line 5 (T7_published_ans_meanof5),what (note),"answer-state probe, mean of five per-repeat AUCs (pod run, published [0.755, 0.7302, 0.7418, 0.7225, 0.7679]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","answer-state probe, mean of five per-repeat AUCs (pod run, published [0.755, 0.7302, 0.7418, 0.7225, 0.7679]); interval now in T7b.tsv (the Linux sklearn 1.9.1 pod rerun reproduced all five per-repeat vectors, T7b/T7b_edaic300_meanof5_perclip.csv): 95% CI [0.6793, 0.8065], paired minus the zero-shot answer -0.0843 [-0.1339, -0.0370]; the old Mac note ""no interval"" is superseded, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","stale ""no interval"" note: T7b has the interval","ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL""); audit_p17 problem 6"
<local data dir>/release/edaic_rerun/part17/rows/T7.tsv,line 6 (T7_published_proj_meanof5),what (note),"projector probe, mean of five per-repeat AUCs (pod run, published [0.551, 0.5618, 0.5795, 0.5653, 0.5474]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","projector probe, mean of five per-repeat AUCs (pod run, published [0.551, 0.5618, 0.5795, 0.5653, 0.5474]); interval now in T7b.tsv (the Linux sklearn 1.9.1 pod rerun reproduced all five per-repeat vectors, T7b/T7b_edaic300_meanof5_perclip.csv): 95% CI [0.4871, 0.6339], paired minus the zero-shot answer -0.2668 [-0.3494, -0.1809]; the old Mac note ""no interval"" is superseded, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)","stale ""no interval"" note: T7b has the interval","ledger 6 LEFT me 12 (T7.tsv ""NO INTERVAL""); audit_p17 problem 6"
<local data dir>/release/edaic_rerun/part17/rows/T4.tsv,(whole file),backup,,<local data dir>/release/edaic_rerun/part17/rows/T4.tsv.bak_pre_notefix_23sep (md5 5a393e2584261edcb283442ca157b0e8),copy before the note fix,
<local data dir>/release/edaic_rerun/part17/rows/T4.tsv,line 8 (T4_edaic_o25_llm_mean5_jsononly),what (note),"Qwen2.5-Omni E-DAIC 300 s window LM probe, mean of five per-repeat AUCs (json per_repeat list, per-clip repeats not on Mac)","Qwen2.5-Omni E-DAIC 300 s window LM probe, mean of five per-repeat AUCs (json per_repeat list; the per-clip repeats were later reproduced on Linux sklearn 1.9.1 in T7b: 95% CI [0.6231, 0.7727], paired minus the zero-shot answer -0.1276 [-0.1993, -0.0629])","stale ""per-clip repeats not on Mac"" note: T7b has them","ledger 6 LEFT me 12 (T4.tsv ""no interval""); audit_p17 problem 6"
<local data dir>/release/edaic_rerun/part17/rows/T4.tsv,line 9 (T4_edaic_o25_enc_mean5_jsononly),what (note),"Qwen2.5-Omni E-DAIC 300 s window encoder probe, mean of five per-repeat AUCs (json per_repeat list, per-clip repeats not on Mac)","Qwen2.5-Omni E-DAIC 300 s window encoder probe, mean of five per-repeat AUCs (json per_repeat list; the per-clip repeats were later reproduced on Linux sklearn 1.9.1 in T7b: 95% CI [0.5268, 0.6523], paired minus the zero-shot answer -0.2394 [-0.3188, -0.1572])","stale ""per-clip repeats not on Mac"" note: T7b has them","ledger 6 LEFT me 12 (T4.tsv ""no interval""); audit_p17 problem 6"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,(whole file),backup,,<local data dir>/release/scores/part22/rows/P22_verified.tsv.bak_pre_notefix_23sep (md5 a248fc3453beb1d43354d051f962866e),copy before the note fix,
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 45 (P22_S1_tf_version),what (note),transformers version of the paper E-DAIC scoring run (podA SETUP3.log:15); 3 live Part 20 pods also 5.17.0 [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"transformers version of the paper E-DAIC scoring run (podA SETUP3.log:15); 3 live Part 20 pods also 5.17.0 [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives tf_version 5.17.0 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
