id,speaker,arm,p_yes,answer_mass,prompt
conflict_301_c000015,301,conflict,0.2228549090,0.9951561242,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_303_c000064,303,conflict,0.4690106590,0.9954177737,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_306_c000146,306,conflict,0.7433886070,0.9965164959,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000157,307,conflict,0.6793482798,0.9963754714,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000159,307,conflict,0.3210398298,0.9934201539,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000162,307,conflict,0.1260125030,0.9948446006,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_307_c000176,307,conflict,0.5314899410,0.9968185723,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000181,308,conflict,0.1260322365,0.9970916808,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000182,308,conflict,0.1562143117,0.9951065332,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000185,308,conflict,0.3209795348,0.9959165454,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_308_c000187,308,conflict,0.2228210301,0.9977497756,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_311_c000251,311,conflict,0.2691000031,0.9976212680,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_312_c000260,312,conflict,0.4075358326,0.9953477085,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
