prompt_id,conflict_balacc_nested,conflict_majority_baseline,mean_p_conflict,mean_p_agreement,auc_conflict,auc_agreement,thr_mean,thr_sd,conflict_acc_nested,conflict_acc_ci_lo,conflict_acc_ci_hi,follows_words,agreement_acc_nested,pred_dep_rate_conflict,answer_mass,shuffle_acc,delta_vs_baseline,delta_ci_lo,delta_ci_hi,significant
P00_baseline,0.394,0.708,0.707,0.8,0.353,0.922,0.865,0.0,0.39,0.31,0.478,0.61,0.882,0.446,0.995,0.506,0.0,0.0,0.0,False
P01_voice,0.4,0.708,0.877,0.909,0.306,0.924,0.985,0.0,0.385,0.312,0.464,0.615,0.882,0.421,0.998,0.507,-0.005,-0.049,0.037,False
P02_ignore_words,0.358,0.708,0.965,0.971,0.309,0.931,0.995,0.0,0.354,0.276,0.434,0.646,0.872,0.431,0.999,0.51,-0.036,-0.086,0.011,False
P03_words_misleading,0.503,0.708,0.983,0.983,0.475,0.853,0.995,0.0,0.472,0.377,0.573,0.528,0.805,0.426,0.999,0.507,0.082,0.032,0.135,True
P04_acoustic_list,0.448,0.708,0.98,0.981,0.383,0.909,0.995,0.0,0.518,0.432,0.61,0.482,0.831,0.646,0.997,0.495,0.128,0.057,0.192,True
P05_clinician,0.438,0.708,0.993,0.992,0.358,0.859,0.995,0.0,0.605,0.494,0.695,0.395,0.774,0.877,0.999,0.483,0.212,0.077,0.324,True
P06_foreign_language,0.361,0.708,0.932,0.958,0.283,0.936,0.991,0.004,0.344,0.258,0.438,0.656,0.815,0.4,0.998,0.503,-0.046,-0.101,0.006,False
P07_prosody_not_semantics,0.403,0.708,0.911,0.928,0.352,0.899,0.989,0.005,0.395,0.31,0.488,0.605,0.769,0.441,0.999,0.507,0.005,-0.037,0.047,False
P08_symptom_acoustic,0.475,0.708,0.996,0.999,0.459,0.821,0.995,0.0,0.672,0.554,0.764,0.328,0.733,0.964,0.996,0.486,0.278,0.129,0.404,True
P09_polarity_flip,0.273,0.708,0.346,0.653,0.163,0.957,0.349,0.002,0.277,0.207,0.347,0.723,0.944,0.415,0.998,0.501,-0.115,-0.204,-0.032,True
P10_balanced_prior,0.435,0.708,0.72,0.792,0.398,0.906,0.834,0.081,0.426,0.337,0.531,0.574,0.774,0.451,0.99,0.503,0.036,-0.028,0.099,False
P11_ignore_words_prior,0.438,0.708,0.957,0.966,0.363,0.892,0.989,0.002,0.415,0.332,0.508,0.585,0.805,0.421,0.993,0.508,0.025,-0.03,0.082,False
