id	claimed	recomputed	verified
T5_pitt_enc_pod10_maxabs	0	t5 file 0; own refit lo-v5-1 (AMD EPYC 9654 96-Core) 0 (own rank AUC 1.11e-16)	yes
T5_pitt_enc_pod10_match4dp	32/32	t5 file 32/32 (mean/std 32/32 and 32/32); own refit 32/32 (mean 32/32, std 32/32)	yes
T5_pitt_enc_pod10_layers_above	31/32 vs 31/32	answer 0.6578; t5 file 31/32 vs 31/32; own refit 31/32 vs saved 31/32	yes
T5_edaic_first30_enc_pod9_pod10_maxabs	0	t5 files pod9 0, pod10 0; own refit lo-v5-2 (AMD EPYC 9754 128-Core) 0 (own rank AUC 1.11e-16)	yes
T5_edaic_first30_enc_match4dp	32/32	t5 files pod9 32/32, pod10 32/32; above answer 0.6620: pod9 2/32 vs 2/32, pod10 2/32 vs 2/32; own refit 32/32 (mean 32, std 32), above 2/32 vs 2/32	yes
T5_pitt_proj_llm_ans_maxabs	0; 1/1, 29/29, 29/29 at 4 dp	t5 files: pitt_proj_pod10 0, 1/1, mean/std 1/1 and 1/1; pitt_llm_pod2 0, 29/29, mean/std 29/29 and 29/29; pitt_ans_pod13 0, 29/29, mean/std 29/29 and 29/29; own refit: proj 0 1/1 (AMD EPYC 9654 96-Core), llm 0 29/29 (AMD EPYC 9754 128-Core), ans 0 29/29 (AMD EPYC 9754 128-Core); task pod cpus lo-t5-2 AMD EPYC 9754, lo-t5-13 AMD EPYC 9575F, lo-t5-5 AMD EPYC 9965, lo-t5-6 AMD EPYC 9965	yes
T5_edaic_first30_proj_llm_ans_maxabs	0; 1/1, 29/29, 29/29 at 4 dp	t5 files: edaic_first30_proj_pod10 0, 1/1, mean/std 1/1 and 1/1; edaic_first30_proj_pod9 0, 1/1, mean/std 1/1 and 1/1; edaic_first30_llm_pod5 0, 29/29, mean/std 29/29 and 29/29; edaic_first30_ans_pod6 0, 29/29, mean/std 29/29 and 29/29; own refit: proj 0 1/1 (AMD EPYC 9754 128-Core), llm 0 29/29 (AMD EPYC 9654 96-Core), ans 0 29/29 (AMD EPYC 9654 96-Core); task pod cpus lo-t5-2 AMD EPYC 9754, lo-t5-13 AMD EPYC 9575F, lo-t5-5 AMD EPYC 9965, lo-t5-6 AMD EPYC 9965	yes
T5_adress2020_enc_pod7	2.88e-03; 1/32	t5 file 2.88e-03; 1/32; above 32/32 vs 32/32; own refit AMD EPYC 9654 96-Core 2.88e-03; 1/32, above 32/32 vs 32/32; p_yes max diff 0.038	yes
T5_neurovoz_enc_pod8	1.09e-03; 5/32	t5 file 1.09e-03; 5/32; above 32/32 vs 32/32; own refit AMD EPYC 9754 128-Core 1.09e-03; 5/32, above 32/32 vs 32/32; p_yes max diff 0.047	yes
T5_edaic_full_enc_pod9	2.97e-03; 2/32	t5 file 2.97e-03; 2/32; above 0/32 vs 0/32; own refit AMD EPYC 9754 128-Core 2.97e-03; 2/32, above 0/32 vs 0/32; p_yes max diff 0.030; answer 0.8278 (states run) vs 0.8285 (saved)	yes
T5_adresso_pcgita_kcl_mid300_mid30_enc_refit	not possible	scanned 1461 npz files (>300 kB) under Desktop/release and G-Drive paper work: no states match any of the 5 saved zero-shot runs (exact matches 0); ADReSSo states found hold [161, 237] clips vs 237 in the curve; the 237-clip files are q3o_adresso_states.npz (32 encoder layers, p_yes diff 0.62), adresso_states.npz (33 encoder layers, p_yes diff 0.75), so not the Qwen2.5-Omni run; Qwen2.5-Omni ADReSSo states (part16 POD4B) are 161-clip subsets; every full-overlap file differs in p_yes by 0.60 to 0.96; adresso: 5 overlapping files; pcgita: 6 overlapping files; kcl: 3 overlapping files; edaic_mid300: 2 overlapping files; edaic_mid30: 2 overlapping files; 5 files without clip names all have [33] encoder layers (Qwen2.5-Omni has 32), unresolved 0; not fully scanned: paper1_local_runs/ports (conda envs) and the old CSCI535-SER-Final course project	yes
T5_diag_p17_verifier_refit_explained	1.11e-16 (Pitt and E-DAIC first30)	t5 files 1.11e-16 and 1.11e-16; own Mac refit (Mac fold file) vs P17 verifier curve: Pitt 1.11e-16, E-DAIC 1.11e-16; vs saved 5.34e-02 0/32 and 8.77e-02 0/32	yes
T5_diag_folds	pods: pod file 468/468 and 275/275; Mac: pod file 125/468 and 20/275	"t5 fold rows 12/12 recomputed from the native fold csvs; own pods (sklearn 1.9.1, 7 pods): pitt pod file ['468/468'], E-DAIC ['275/275']; pod source 'indices = np.argsort(n_samples_per_group, kind=""stable"")[::-1]'; Mac sklearn 1.7.2: pod file 125/468 and 20/275, Mac file 468/468 and 275/275, source 'indices = np.argsort(n_samples_per_group)[::-1]'; numpy default argsort equals stable on the counts: False on Mac and on every pod"	yes
T5_diag_pod_lib_mac_folds	Pitt 5.37e-02, 0/32; E-DAIC 8.79e-02, 0/32	t5 files Pitt 5.37e-02; 0/32, E-DAIC pod10 8.79e-02; 0/32, pod9 8.79e-02; 0/32; own refit Pitt 5.37e-02, 0/32 (AMD EPYC 9654 96-Core); E-DAIC 8.79e-02, 0/32 (AMD EPYC 9754 128-Core)	yes
T5_diag_mac_lib_pod_folds	Pitt 5.62e-04, 11/32; E-DAIC 8.70e-04, 4/32	t5 files Pitt 5.62e-04; 11/32, E-DAIC 8.70e-04; 4/32; own Mac refit (sklearn 1.7.2, numpy 2.2.6, Accelerate) Pitt 5.62e-04, 11/32; E-DAIC 8.70e-04, 4/32	yes
T5_diag_zen3_host	Pitt enc 6.78e-04, 8/32; E-DAIC enc 5.07e-04, 7/32; Pitt ans 7.94e-04, 4/29	t5 files 6.78e-04; 8/32, 5.07e-04; 7/32, Pitt ans pod3 from t5 file 7.94e-04, 4/29; own refit on AMD EPYC 7713 64-Core / AMD EPYC 7713 64-Core: Pitt enc 6.78e-04, 8/32; E-DAIC enc 5.07e-04, 7/32; Pitt ans 7.94e-04, 4/29	yes
