item_id,line,col,kind,text,value,value2,decimals,decimals2,unit,range_labels,in_red,in_comment,section,table,table_key,table_row,table_col,table_group,clause,context,prev_context,table_caption,para_before
L25_839,25,839,range,0.75 to 0.92,0.75,0.92,2,2,,,no,yes,Abstract,,,,,,"Probes detect disorders from audio representations with AUC ranging from 0.75 to 0.92,","Probes detect disorders from audio representations with AUC ranging from 0.75 to 0.92, whereas the LLM's AUC is much lower due to a representation utility gap.",\beginabstract,,
L26_497,26,497,range,0.75 to 0.92,0.75,0.92,2,2,,,no,no,Abstract,,,,,,probes detect the disorder with an AUC of 0.75 to 0.92 while,"On Parkinson's and Alzheimer's, probes detect the disorder with an AUC of 0.75 to 0.92 while zero-shot answers sit at 0.56 to 0.71, a representation utility gap.","We train linear probes on an Audio LLM's hidden states and compare them with its answers under three conditions of different language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.",,
L26_541,26,541,range,0.56 to 0.71,0.56,0.71,2,2,,,no,no,Abstract,,,,,,"zero-shot answers sit at 0.56 to 0.71,","On Parkinson's and Alzheimer's, probes detect the disorder with an AUC of 0.75 to 0.92 while zero-shot answers sit at 0.56 to 0.71, a representation utility gap.","We train linear probes on an Audio LLM's hidden states and compare them with its answers under three conditions of different language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.",,
L26_680,26,680,word,four,4.0,,0,,word,,no,no,Abstract,,,,,,four of six models fall below chance.,"Where the words contradict a depression diagnosis, four of six models fall below chance.",On depression the answer beats every probe.,,
L26_773,26,773,word,five,5.0,,0,,word,,no,no,Abstract,,,,,,Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets.,Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets.,"Where the words contradict a depression diagnosis, four of six models fall below chance.",,
L53_177,53,177,word,five,5.0,,0,,word,,no,no,Introduction,,,,,,and that retraining only the projector recovers the overall AUC on five of seven datasets but,"\item We show that the signal survives to the answer position, in directions the Yes/No readout does not use, and that retraining only the projector recovers the overall AUC on five of seven datasets but leaves the conflict segments at chance.","\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, evaluate six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized, and show that the gap is significant on every Parkinson's and Alzheimer's set except MDVR-KCL and reverses on depression.",,
L67_321,67,321,point,0.89,0.89,,2,,,,no,no,Method,,,,,,the two sets hold a median of at least 0.89 of the probability mass in every cell.,"We then ask the model the same prompt (clinical question) and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation AUC^answer = AUC(p(Y), y), \quad p(Y) = \frac\sum_t\in\mathcalY\pi_t\sum_t\in\mathcalY\cup\mathcalN\pi_t, \labeleq:answer \endequation where \pi is the softmax over the vocabulary at the first answer position and \mathcalY, \mathcalN are the single-token spellings of Yes and No listed in the release, so p(Y) is the probability of Yes given that the answer is one of the two; the two sets hold a median of at least 0.89 of the probability mass in every cell.","For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds, and the area under the ROC curve (AUC) is \beginequation AUC^probe_\ell = AUC\big(\sigma(\mathbfw_\ell^\top\bar\mathbfh_\ell + b_\ell), y\big), \labeleq:probe \endequation where y is the label and \bar\mathbfh_\ell is the mean-pooled activation.",,
L74_739,74,739,integer,47,47.0,,0,,,,no,no,Method,,,,,,"On the Pitt dataset the arms are not paired (47 speakers appear in both),","On the Pitt dataset the arms are not paired (47 speakers appear in both), and fluency markers such as pauses are heard as well as read, so the Pitt test is the weaker one.","On E-DAIC each conflict segment is paired with an agreement segment of the same speaker, so the two arms differ mainly in what is said.",,
L77_360,77,360,range,0.43 to 0.62,0.43,0.62,2,2,,,no,no,Implementation Details,,,,,,"reaches 0.43 to 0.62 on the Parkinson's sets,","As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.","\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.",,
L77_398,77,398,point,0.68,0.68,,2,,,,no,no,Implementation Details,,,,,,0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.,"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.","\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.",,
