id,speaker,arm,p_yes,answer_mass,wav_sha256_1mb,n_samples_scored,prompt
c000015,301,conflict,0.2122337299,0.9951077253,0397b11416dc8be605f886a9756503c19602aaa68bf4d508e969cf978fa5a01d,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000146,306,conflict,0.7551001721,0.9965998530,f71111a34b034d9425fca82c4668d6b7131b5c058c768537e0ea918617901b97,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000159,307,conflict,0.3348142817,0.9934453666,0a047ad9799b0362d1b69d83c6993fcc2bfe8065f7bb27bd982cac959215b85f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000182,308,conflict,0.1562217528,0.9943871498,cecb11a0f59bd525c5a61b813d0fb0e33fd20be95c103c84406ec706ee423daa,302400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000251,311,conflict,0.2570056434,0.9978745282,b99e8605d0dad1ac757f311f8d8213f57fdd753af7ed4a7a96bac30dbca0ee63,336000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000296,314,conflict,0.1404194781,0.9953032136,322042cdc502555857d4c87c6f4fef0c3cb931b89732db54304b362940687e07,350400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000335,315,conflict,0.1920980526,0.9941475242,e7cd5ec77d5b5cde4d28dd13ff44305e62892c2201b42302c4ae287246d9b7f4,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000389,318,conflict,0.3489144941,0.9929184914,50a7ab6e21170e2916483ee144a9b07d42d0ec1d5b607038a34ac67fddc5671f,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000475,323,conflict,0.1826253311,0.9966642261,a108b0af67c1f7d5db098a4a03d6d99ae16a499a1d5b58680658a5cf15c1ddb2,425600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000563,328,conflict,0.5314049850,0.9967859089,63edb1018ed14eeac4707f0f6477aba84f81e681f0cddf6324d31cc21a87d4e3,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000644,332,conflict,0.0804339688,0.9979256913,43de9d30aa734a211d033d4c6778ac2496393ba83bf76bfb576914822ffeaa84,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000810,338,conflict,0.1482123678,0.9954964817,9c69bba09dcbfa1180370fd55b57e21ee5d80dca3f9d16d52a1d096644f2a760,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000824,338,conflict,0.0716269881,0.9972654805,76bd78f443e1525bb5b23ab896eda1cf1a7ccb7de705725ed3b8b78a1b3ebc57,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000932,345,conflict,0.1009631297,0.9955923036,2d4b1eaab87b72cbc655d8cbf255bc3575c17256639a8c8a95ca93842cc99ff1,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000941,345,conflict,0.1259955695,0.9963492602,4a7347cd8e5056b864cd5a6e66b4bb445a11be50fca70e63ba400122dbfbf1ce,267200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000949,345,conflict,0.3075477188,0.9939626455,089c723717dc42d84d73860d1bef6758c267ebfa18d6e6cba60c3193f71e9374,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000956,346,conflict,0.1920980202,0.9954151958,2c88fcf6beae911727697e872d0139e425583422727644eca956b506b8e1bb16,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000974,346,conflict,0.2569839194,0.9967464209,9e73bdf7a264a9151006dfda928475d1f2b51594619927534535f83e92af5056,262400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000985,346,conflict,0.2570031497,0.9972872436,a6cbf8b911defdb6c33d61a72e3346e495c2b56241b049483f6e2a42f1189922,139200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c000993,347,conflict,0.1921280435,0.9970688522,5fdc52cbf64093bb2cfc5923964bcbe8e7fb228330036f1c32ba006c25d15ebf,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001005,348,conflict,0.0716305379,0.9980400577,8b9b2f38305e17d484adb2e2d016a4907ebb522e5901f9d95278f008cf6c233e,377600,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001014,348,conflict,0.2691114743,0.9968704283,887e7afd508cabd80e276611399b7a7ff0bcff9737b95acb62e640ba81ae0fb3,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001260,362,conflict,0.1482076028,0.9959048182,ca94c49663a338b43ae6f651b651e40769e2fdfe5a5304fe427975a28382d6c9,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001268,362,conflict,0.3488182156,0.9936890304,e66e6e1605e68610d365f8a429097e486e6c573fd7765c0ab264c550802f4d50,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001285,363,conflict,0.3209917550,0.9961073995,c924d059c4d4802d69f85a0323ff2d3ee47fb545b9eac77732f06cf37a285489,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001296,363,conflict,0.4534237192,0.9971666038,ee25012cbbab0dc282791ccc849f04a6a6ceb7162412bff329a0d7d46dcceee2,198400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001310,364,conflict,0.3631527378,0.9966853857,d9eb53ac688fcf37c29ceead0d1bba5437d941f995a9108de1e675a475308623,179200,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001429,366,conflict,0.2122247602,0.9958271384,42bf6ce2c31825ddc8e66ccd9e5bf5e825093827fbe8bf96c5f509b0c90ddbb4,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001474,367,conflict,0.2569560459,0.9972101450,a908792fd93046d3daab81c5a9a756abbbc03e16cf4838ab3ff407cd23002fdc,350400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001515,369,conflict,0.0474492173,0.9977208003,1717420086f6856d286cc8ad91ead87f4e16b84356792ef67c4a29363ba657e2,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001561,370,conflict,0.2338587047,0.9964344949,c972fffc6a5e767d79b4a3668ea81a4ac198dd13a6a18504e44b0788fb99408d,364800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001670,374,conflict,0.5003601741,0.9943371415,8e5b4d5365e41f9383301ba404b836452b49e23d27c44564e00b70747065e27b,244800,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
c001732,377,conflict,0.1734549857,0.9954300374,a964f43d0f3ddeb9009451d94bff368352be808949c6ffd4713361afc1a2aac0,480000,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
