id	family	role	draws	draws_sha256	usable_draws	degenerate_draws	draws_source	per_clip	draws_mean	npz_keys
G_pcgita	GAPS	claimed	scores/part25/B/draws/B_G_pcgita_draws.npz	3cdbec82665156b29d28fb3039cb1a65389cd81ee60874842c0514b71e02f43c	2000	0	Track A saved draws (regenerated here and equal to 1e-9)	scores/part25/B/per_clip/B_G_pcgita_perclip.csv	0.33009605771834355	diff terms speaker_idx speakers point_diff point_terms
G_neurovoz	GAPS	claimed	scores/part25/B/draws/B_G_neurovoz_draws.npz	51c1c3ecaf1b565acd5550c1d0dde277f6cd9113bc5709ab2f6d1c567f49030a	2000	0	Track A saved draws (regenerated here and equal to 1e-9)	scores/part25/B/per_clip/B_G_neurovoz_perclip.csv	0.22730767878281172	diff terms speaker_idx speakers point_diff point_terms
G_adresso	GAPS	claimed	scores/part25/B/draws/B_G_adresso_draws.npz	605365aee2b463bc31832aecc7f91e0e92a1cc3453466b6705804e4121507cba	2000	0	Track A saved draws (regenerated here and equal to 1e-9)	scores/part25/B/per_clip/B_G_adresso_perclip.csv	0.259388467355499	diff terms speaker_idx speakers point_diff point_terms
G_adress2020	GAPS	claimed	scores/part25/B/draws/B_G_adress2020_draws.npz	1b4820d13326d62187b42c28950d5c50866b498e2620ced11fc3bccb1035381e	2000	0	Track A saved draws (regenerated here and equal to 1e-9)	scores/part25/B/per_clip/B_G_adress2020_perclip.csv	0.1791501446253152	diff terms speaker_idx speakers point_diff point_terms
G_pitt	GAPS	claimed	scores/part25/B/draws/B_G_pitt_draws.npz	028152aba60f66cc37e15e274a6c9f4ef252c64695dc8fa38b3837e75be33c57	2000	0	Track A saved draws (regenerated here and equal to 1e-9)	scores/part25/B/per_clip/B_G_pitt_perclip.csv	0.11247605655443425	diff terms speaker_idx speakers point_diff point_terms
G_edaic_llm	GAPS	claimed	scores/part25/B/draws/B_G_edaic_llm_draws.npz	5f1857ab1785822dd96263465e0140e38a17d01d08da9163a09b7883f0004b40	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_G_edaic_llm_perclip.csv	-0.09193369189888588	diff terms speaker_idx speakers point_diff point_terms
G_edaic_enc	GAPS	claimed	scores/part25/B/draws/B_G_edaic_enc_draws.npz	456f5c37835c837883faec5572d3851d9998d031057dde3ba25f9ba440c8e11b	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_G_edaic_enc_perclip.csv	-0.23637025811342924	diff terms speaker_idx speakers point_diff point_terms
Gs_edaic_ansstate	GAPS	sensitivity only	scores/part25/B/draws/B_Gs_edaic_ansstate_draws.npz	057c52f2442224f2a037897677c34502c09ccb9d7ecc1eedf4ffa001437e4ccd	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Gs_edaic_ansstate_perclip.csv	-0.0003595063914607952	diff terms speaker_idx speakers point_diff point_terms
Gs_kcl_single	GAPS	sensitivity only	scores/part25/B/draws/B_Gs_kcl_single_draws.npz	09be33b29a48d0b8cc00e95438c7423e07eb445b6cf507884eb7fbcb2dc32995	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Gs_kcl_single_perclip.csv	0.05960518838846174	diff terms speaker_idx speakers point_diff point_terms
R_edaic_q2a	ARMS	claimed	scores/part25/B/draws/B_R_edaic_q2a_draws.npz	6de03623e566c9b434d2c4ed6794a827763c27748c9020e508a0df2a0e385626	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_edaic_q2a_perclip.csv	-0.7330783369904309	diff terms speaker_idx speakers point_diff point_terms
R_edaic_o25	ARMS	claimed	scores/part25/B/draws/B_R_edaic_o25_draws.npz	4940e12e01f02ca5dcd664738689f7932ca61d31244c77be5fbcd902268ebbdf	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_edaic_o25_perclip.csv	-0.7422826098939052	diff terms speaker_idx speakers point_diff point_terms
R_edaic_q3o	ARMS	claimed	scores/part25/B/draws/B_R_edaic_q3o_draws.npz	c9eefea061f176d102c2ff824fa5be80e857a71329ac06b6901652a486b0bdfa	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_edaic_q3o_perclip.csv	-0.6717684689097232	diff terms speaker_idx speakers point_diff point_terms
