clip,speaker,p_yes,mass,prompt
S001.wav,S001,0.3632881689271144,0.99648118019104,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S002.wav,S002,0.2693269906304305,0.9974981844425201,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S003.wav,S003,0.2817777023359973,0.9965513348579407,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S004.wav,S004,0.19218135194831382,0.9961871802806854,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S005.wav,S005,0.29459490448298337,0.9952404797077179,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S006.wav,S006,0.4230144824744104,0.9972256124019623,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S007.wav,S007,0.19209313690703744,0.9967015981674194,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S009.wav,S009,0.16472504707636726,0.9970870912075043,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S011.wav,S011,0.42296857667875737,0.9968468248844147,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S012.wav,S012,0.23402781559205468,0.9966417253017426,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S013.wav,S013,0.37790300221129963,0.9966228306293488,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S015.wav,S015,0.2945460299351286,0.9971008002758026,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S016.wav,S016,0.321246363372769,0.9966711699962616,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S017.wav,S017,0.3490444450355397,0.9965816140174866,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S018.wav,S018,0.39277695372252075,0.9966999590396881,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S019.wav,S019,0.3349517014493455,0.9967818558216095,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S020.wav,S020,0.33496905312076336,0.9960709512233734,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S021.wav,S021,0.2124609314120047,0.9960100501775742,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S024.wav,S024,0.3350470832278703,0.9957584738731384,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S025.wav,S025,0.2693005295420525,0.9969444870948792,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S027.wav,S027,0.2945522534328585,0.9968355894088745,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S028.wav,S028,0.34905771886878073,0.996435284614563,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S029.wav,S029,0.469292962204016,0.9966291189193726,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S030.wav,S030,0.39266793201601646,0.9970459043979645,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S032.wav,S032,0.22293550924671116,0.9963721036911011,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S033.wav,S033,0.32118624458980344,0.9970444142818451,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S034.wav,S034,0.24541513026663458,0.9958759844303131,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S035.wav,S035,0.3349973463465677,0.9961611032485962,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S036.wav,S036,0.4848108876908107,0.9959119260311127,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S038.wav,S038,0.26920328835104945,0.9969660639762878,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S039.wav,S039,0.3490246153664009,0.9958391785621643,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S040.wav,S040,0.24538486219377464,0.9967941492795944,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S041.wav,S041,0.2229887311466292,0.9951444864273071,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S043.wav,S043,0.24535616131002047,0.9956224262714386,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S048.wav,S048,0.30768174003927423,0.9957284331321716,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S049.wav,S049,0.4847726024432592,0.997520923614502,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S051.wav,S051,0.36336843681187575,0.9952932596206665,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S052.wav,S052,0.18269857007566667,0.9962434023618698,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S055.wav,S055,0.30773171115213893,0.996504008769989,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S056.wav,S056,0.26920344643089006,0.9961896538734436,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S058.wav,S058,0.34900207094617663,0.9958924055099487,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S059.wav,S059,0.25719533654502297,0.9971755146980286,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S061.wav,S061,0.2340140686211114,0.9963530451059341,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S062.wav,S062,0.2570703641720715,0.9960755109786987,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S063.wav,S063,0.3349786905982991,0.9959723651409149,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S064.wav,S064,0.2571319598469092,0.9959493279457092,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S067.wav,S067,0.2020277553959489,0.9965934753417969,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S068.wav,S068,0.4229708900924156,0.9977861642837524,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S070.wav,S070,0.2571809995574386,0.9965476393699646,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S071.wav,S071,0.36333087415520476,0.996126264333725,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S072.wav,S072,0.28173575843963844,0.9969014227390289,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S073.wav,S073,0.3778347065871359,0.9954440891742706,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S076.wav,S076,0.36329563355016375,0.9966997504234314,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S077.wav,S077,0.20203525426501664,0.9968224465847015,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S079.wav,S079,0.3927111039257924,0.9954951703548431,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S080.wav,S080,0.2944668059006189,0.9972332417964935,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S081.wav,S081,0.22292271865508878,0.995110496878624,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S082.wav,S082,0.438185539980294,0.9966431558132172,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S083.wav,S083,0.20204267979702362,0.9972722828388214,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S084.wav,S084,0.3489892412232609,0.99628084897995,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S086.wav,S086,0.30764079572329267,0.9971111118793488,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S087.wav,S087,0.3349266774763235,0.9971240758895874,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S089.wav,S089,0.24534268511099108,0.9965361654758453,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S090.wav,S090,0.36331803211676117,0.9967337846755981,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S092.wav,S092,0.36334182264744336,0.99714195728302,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S093.wav,S093,0.3780115410112077,0.9968080520629883,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S094.wav,S094,0.3489864796483583,0.9968551695346832,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S095.wav,S095,0.2453162876901386,0.9974854737520218,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S096.wav,S096,0.18259874583207458,0.9968494027853012,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S097.wav,S097,0.24533124081218363,0.9957650452852249,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S100.wav,S100,0.34900036589572053,0.9968694746494293,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S101.wav,S101,0.17340928305609357,0.996527373790741,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S103.wav,S103,0.3210900398879312,0.9974390268325806,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S104.wav,S104,0.4537624343983809,0.9964577257633209,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S107.wav,S107,0.48473251693909575,0.9969641864299774,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S108.wav,S108,0.3077366578370363,0.9950960576534271,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S110.wav,S110,0.32114238243292076,0.9967329204082489,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S111.wav,S111,0.3077496700077259,0.9970474243164062,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S114.wav,S114,0.30773040482247593,0.9971562325954437,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S116.wav,S116,0.3633393642978877,0.99692502617836,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S118.wav,S118,0.48482590594628466,0.9969388544559479,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S122.wav,S122,0.2817242178959914,0.9968840777873993,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S124.wav,S124,0.3349979477435091,0.9973528385162354,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S125.wav,S125,0.3076210820565923,0.997033566236496,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S126.wav,S126,0.4228475829909885,0.9972071945667267,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S127.wav,S127,0.3489859769225051,0.9963756501674652,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S128.wav,S128,0.17354720842573496,0.9969914704561234,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S129.wav,S129,0.48476193912487414,0.9969451129436493,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S130.wav,S130,0.3489484012007242,0.9956979751586914,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S132.wav,S132,0.3632939974985681,0.9956878423690796,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S135.wav,S135,0.5930697524598315,0.9974175691604614,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S136.wav,S136,0.4692068066363665,0.9969227015972137,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S137.wav,S137,0.37784073478097063,0.9966980218887329,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S138.wav,S138,0.40769254742948285,0.99736687541008,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S139.wav,S139,0.25710404422479305,0.997804194688797,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S140.wav,S140,0.43835641529932906,0.9957491755485535,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S141.wav,S141,0.4229258603627218,0.9967189133167267,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S142.wav,S142,0.46915571000957057,0.9964905679225922,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S143.wav,S143,0.36336563210037864,0.9970010817050934,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S144.wav,S144,0.2691875107180196,0.9964656233787537,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S145.wav,S145,0.39264039766922343,0.9964823424816132,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S148.wav,S148,0.4230022291659983,0.9960238039493561,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S149.wav,S149,0.39280746525069926,0.9966295957565308,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S150.wav,S150,0.4229548171988492,0.9964044094085693,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S151.wav,S151,0.22293232251764616,0.9964461028575897,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S153.wav,S153,0.34900261246319264,0.9966377913951874,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S154.wav,S154,0.26932674379820387,0.9961462318897247,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S156.wav,S156,0.3076578819972421,0.9961542785167694,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S160.wav,S160,0.14828908156898019,0.9971577376127243,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S161.wav,S161,0.2572060381273385,0.9968453943729401,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S162.wav,S162,0.23396045866220827,0.9964017421007156,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S163.wav,S163,0.21237655268452496,0.9961920529603958,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S164.wav,S164,0.37799888633050077,0.9975237250328064,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S165.wav,S165,0.3350134418145901,0.9964803755283356,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S166.wav,S166,0.18265028423741064,0.9964397102594376,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S167.wav,S167,0.36334394799001873,0.9966529309749603,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S168.wav,S168,0.5316516293078637,0.9965746104717255,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S169.wav,S169,0.5159992060228661,0.9964928925037384,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S170.wav,S170,0.28172927013618637,0.9973370432853699,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S171.wav,S171,0.24528834343539327,0.9973460286855698,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S172.wav,S172,0.2817030243342401,0.9960196316242218,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S173.wav,S173,0.3633193132434395,0.9969330430030823,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S174.wav,S174,0.2692924644785646,0.9961007237434387,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S175.wav,S175,0.48486951848423604,0.9957292973995209,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S176.wav,S176,0.37797182945095553,0.9967365562915802,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S177.wav,S177,0.281733380327725,0.9973283112049103,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S178.wav,S178,0.17349945084491097,0.996752992272377,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S179.wav,S179,0.25718315091005717,0.9977344870567322,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
S180.wav,S180,0.32107278886686763,0.9964002072811127,"Based only on this recording, does this speaker show signs of dementia? Answer with one word, Yes or No."
