line_start,line_end,unit,status,ratio,new_numbers,text,best_base_text
124,125,table_row,edited,0.960,0.84 0.86,[tab:main] E-DAIC & 275 (275) & 0.84 & 0.82 & 0.86,[tab:main] E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64
170,171,table_row,edited,0.881,0.58,[tab:conflict] Audio Flamingo 2 & 0.53 & 0.63 & 0.58 & 0.53,[tab:conflict] Audio Flamingo 2 & 0.53 & 0.61 & 0.63 & 0.55
25,26,sentence,edited,0.775,,"Audio LLMs answer clinical questions about a recording, but their output depends on paralinguistic and linguistic cues, so it is unclear how much is grounded in the voice rather than the words.","Their output depends on both paralinguistic and linguistic cues, and it is unclear how much of it is grounded in the voice rather than the words."
26,26,sentence,edited,0.859,,"We train linear probes on an Audio LLM's hidden states and compare them with its answers under three conditions of different language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.","We train linear probes on its frozen hidden states and query it under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions."
26,26,sentence,added,0.416,0.56 0.71 0.75 0.92,"On Parkinson's and Alzheimer's, probes detect the disorder with an AUC of 0.75 to 0.92 while zero-shot answers sit at 0.56 to 0.71, a representation utility gap.","The gap is widest on Parkinson's read-speech, narrower on Alzheimer's picture descriptions and reversed on depression."
26,26,sentence,added,0.469,,On depression the answer beats every probe.,Two other wordings move the answers by 0.02 on average.
26,26,sentence,edited,0.922,,"Where the words contradict a depression diagnosis, four of six models fall below chance.","Where the words contradict the diagnosis, four of six models fall below chance."
26,26,sentence,edited,0.851,,Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets.,Retraining only the projector narrows the gap on Parkinson's and Alzheimer's.
26,26,sentence,added,0.468,,Evaluations scored only where words and diagnosis agree cannot tell a model that listens from one that reads.,"Where the words contradict the diagnosis, four of six models fall below chance."
36,40,sentence,edited,0.870,,\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption Linear probe AUC at each layer of Qwen2.5-Omni with one dataset per condition.,"\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption Linear probe AUC at each stage of Qwen2.5-Omni, speaker-disjoint folds, one dataset per condition."
40,42,sentence,added,0.443,,Each point is that layer's representation probing performance (AUC) out-of-fold. \labelfig:gap \endfigure,"However, these results demonstrate that representations contain necessary information for diagnosis."
44,44,sentence,added,0.522,,"Audio LLMs in particular can use the words as well as the voice, because most of their audio encoders are trained for speech recognition, so the words are available even when the prompt contains only the audio.","Audio Flamingo 2 is the only model whose audio encoder, CLAP , was not trained for speech recognition, so its transcription is limited."
46,46,sentence,added,0.538,,Bhalla et al. benchmarked pretrained audio encoders on clinical conditions and found that no single encoder generalizes across them.,"Bhalla et al. have developed a large benchmark and evaluated a set of large pretrained audio encoders for the diagnosis of clinical conditions, including neuro-degenerative disorders that disrupt speech production."
46,46,sentence,added,0.439,,"Dong et al. built a multilingual Alzheimer's disease (AD) benchmark and found that fusing speech and language does not beat the better single modality, and that which modality dominates depends on the domain.",Dong et al. created a large multi-lingual benchmark for Alzheimer's disease (AD) detection and similarly evaluated the performance of a deep speech encoder for their diagnosis through multimodal fusion of speech and language.
