clip,speaker,p_yes,mass,prompt
300.wav,300,0.6217576669965572,0.9972159266471863,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
301.wav,301,0.20470980943336406,0.9954884648323059,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
302.wav,302,0.43793241716618003,0.994158148765564,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
303.wav,303,0.26912568652854146,0.9976793229579926,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
304.wav,304,0.49690249658958047,0.9976142048835754,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
305.wav,305,0.22439239561059873,0.9978807121515274,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
306.wav,306,0.2705156571704988,0.9976521730422974,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
307.wav,307,0.43422019293669656,0.9978010356426239,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
308.wav,308,0.49919333223483836,0.997939258813858,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
309.wav,309,0.437018155741547,0.9966864883899689,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
310.wav,310,0.4321336319220796,0.9968136847019196,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
311.wav,311,0.931784266239179,0.9993651211261749,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
312.wav,312,0.8975970499150948,0.9987312331795692,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
313.wav,313,0.6762439928175821,0.9979283809661865,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
314.wav,314,0.5610063753853821,0.998174786567688,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
315.wav,315,0.9610618545563173,0.9993105083703995,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
316.wav,316,0.7005720128961708,0.9977926015853882,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
317.wav,317,0.5608502569845649,0.9978615343570709,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
318.wav,318,0.49766227547010844,0.9957417845726013,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
319.wav,319,0.9611354948740229,0.9991053864359856,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
320.wav,320,0.8785701393925781,0.9989153295755386,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
321.wav,321,0.7954153249173085,0.9988860338926315,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
322.wav,322,0.3766055201142612,0.9984024167060852,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
323.wav,323,0.6774266877472293,0.9984792470932007,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
324.wav,324,0.6769073846890287,0.9971553683280945,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
325.wav,325,0.2949878655812282,0.997117817401886,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
326.wav,326,0.49907603789323657,0.9977736473083496,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
327.wav,327,0.8997829327309165,0.9990981221199036,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
