model,prompt,conflict_auc,conflict_lo,conflict_hi,conflict_null_mean,conflict_null_p95,agreement_auc,agreement_lo,agreement_hi,conflict_vs_baseline
omni,P00_baseline,0.297,0.229,0.373,0.502,0.583,0.868,0.76,0.953,-0.0
omni,P01_voice,0.298,0.228,0.38,0.501,0.585,0.872,0.769,0.955,0.001
omni,P02_ignore_words,0.279,0.206,0.362,0.502,0.579,0.896,0.809,0.961,-0.018
omni,P03_words_misleading,0.291,0.218,0.37,0.502,0.58,0.868,0.755,0.956,-0.006
omni,P04_acoustic_list,0.295,0.222,0.373,0.502,0.577,0.871,0.76,0.956,-0.002
omni,P05_clinician,0.32,0.239,0.411,0.5,0.571,0.824,0.701,0.928,0.023
omni,P06_foreign_language,0.293,0.222,0.373,0.502,0.58,0.866,0.753,0.954,-0.004
omni,P07_prosody_not_semantics,0.294,0.221,0.374,0.502,0.584,0.856,0.739,0.948,-0.003
omni,P08_symptom_acoustic,0.339,0.257,0.429,0.501,0.584,0.8,0.687,0.9,0.042
omni,P09_polarity_flip,0.174,0.114,0.25,0.502,0.597,0.967,0.92,0.996,-0.123
omni,P10_balanced_prior,0.337,0.257,0.423,0.501,0.574,0.859,0.74,0.952,0.04
omni,P11_ignore_words_prior,0.313,0.233,0.407,0.501,0.579,0.891,0.801,0.958,0.016
qwen2audio,P00_baseline,0.353,0.263,0.451,0.5,0.591,0.922,0.854,0.971,0.0
qwen2audio,P01_voice,0.306,0.221,0.402,0.501,0.596,0.924,0.859,0.972,-0.047
qwen2audio,P02_ignore_words,0.309,0.22,0.404,0.501,0.602,0.931,0.868,0.976,-0.044
qwen2audio,P03_words_misleading,0.475,0.365,0.586,0.499,0.596,0.853,0.748,0.933,0.122
qwen2audio,P04_acoustic_list,0.383,0.282,0.492,0.5,0.601,0.909,0.839,0.961,0.03
qwen2audio,P05_clinician,0.358,0.265,0.453,0.501,0.582,0.859,0.772,0.929,0.005
qwen2audio,P06_foreign_language,0.283,0.201,0.375,0.5,0.601,0.936,0.876,0.98,-0.07
qwen2audio,P07_prosody_not_semantics,0.352,0.257,0.453,0.501,0.601,0.899,0.815,0.961,-0.001
qwen2audio,P08_symptom_acoustic,0.459,0.37,0.55,0.501,0.584,0.821,0.715,0.906,0.106
qwen2audio,P09_polarity_flip,0.163,0.104,0.23,0.502,0.594,0.957,0.906,0.99,-0.19
qwen2audio,P10_balanced_prior,0.398,0.303,0.496,0.499,0.586,0.906,0.825,0.968,0.045
qwen2audio,P11_ignore_words_prior,0.363,0.263,0.463,0.501,0.593,0.892,0.796,0.963,0.01
