id	what	value	lo	hi	n	n_spk	file
T7b_zeroshot_answer	Qwen2.5-Omni zero-shot answer AUC, E-DAIC 300 s window	0.8278	0.7703	0.8822	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_llm_meanof5	LM probe, mean of five per-repeat AUCs [0.6918, 0.7062, 0.6893, 0.7055, 0.7078] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window	0.7001	0.6231	0.7727	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_llm_meanof5_minus_answer	LM probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window	-0.1276	-0.1993	-0.0629	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_enc_meanof5	encoder probe, mean of five per-repeat AUCs [0.5964, 0.5826, 0.5962, 0.5608, 0.606] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window	0.5884	0.5268	0.6523	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_enc_meanof5_minus_answer	encoder probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window	-0.2394	-0.3188	-0.1572	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_ans_meanof5	answer-state probe, mean of five per-repeat AUCs [0.755, 0.7302, 0.7418, 0.7225, 0.7679] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window	0.7435	0.6793	0.8065	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_ans_meanof5_minus_answer	answer-state probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window	-0.0843	-0.1339	-0.037	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_proj_meanof5	projector probe, mean of five per-repeat AUCs [0.551, 0.5618, 0.5795, 0.5653, 0.5474] (nested GroupKFold(5) x 5 repeats, pod rerun reproduces published), E-DAIC 300 s window	0.561	0.4871	0.6339	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_proj_meanof5_minus_answer	projector probe mean of five per-repeat AUCs minus zero-shot answer AUC, paired (one speaker draw per replicate, all five AUCs recomputed), E-DAIC 300 s window	-0.2668	-0.3494	-0.1809	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_llm_aucofmeanoof	NOT USED: LM probe AUC of the OOF probabilities averaged over five repeats, E-DAIC 300 s window	0.7088	0.6232	0.7874	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_llm_aucofmeanoof_minus_answer	NOT USED: LM probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window	-0.119	-0.1995	-0.0478	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_enc_aucofmeanoof	NOT USED: encoder probe AUC of the OOF probabilities averaged over five repeats, E-DAIC 300 s window	0.5916	0.511	0.6706	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_enc_aucofmeanoof_minus_answer	NOT USED: encoder probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window	-0.2361	-0.3272	-0.1394	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_ans_aucofmeanoof	NOT USED: answer-state probe AUC of the OOF probabilities averaged over five repeats, E-DAIC 300 s window	0.7748	0.7041	0.8387	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_ans_aucofmeanoof_minus_answer	NOT USED: answer-state probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window	-0.053	-0.1046	-0.0049	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_proj_aucofmeanoof	NOT USED: projector probe AUC of the OOF probabilities averaged over five repeats, E-DAIC 300 s window	0.5631	0.479	0.6478	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
T7b_notused_proj_aucofmeanoof_minus_answer	NOT USED: projector probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window	-0.2646	-0.3575	-0.1667	275	275	scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv
